"geo","dguid","age","disability","value","rate"
"Quebec",24,"65+","Total population",1528270,1
"Quebec",24,"65+","Total with disability",455710,0.298186838713055
"Quebec",24,"65+","Mild",145720,0.0953496437147886
"Quebec",24,"65+","Moderate",96010,0.062822668769262
"Quebec",24,"65+","Severe",98880,0.0647006091855497
"Quebec",24,"65+","Very severe",115100,0.0753139170434544
"Ontario",35,"Total","Total population",11552580,1
"Ontario",35,"Total","Total with disability",3235340,0.280053459919775
"Ontario",35,"Total","Mild",1195630,0.10349463063662
"Ontario",35,"Total","Moderate",619410,0.0536165947346826
"Ontario",35,"Total","Severe",655760,0.0567630780310545
"Ontario",35,"Total","Very severe",764540,0.0661791565174186
"Ontario",35,"15-24","Total population",1669060,1
"Ontario",35,"15-24","Total with disability",337100,0.20196997112147
"Ontario",35,"15-24","Mild",160400,0.0961019975315447
"Ontario",35,"15-24","Moderate",62680,0.0375540723521024
"Ontario",35,"15-24","Severe",63720,0.0381771775730052
"Ontario",35,"15-24","Very severe",50300,0.0301367236648173
"Ontario",35,"25-64","Total population",7509430,1
"Ontario",35,"25-64","Total with disability",1866980,0.248618070878882
"Ontario",35,"25-64","Mild",740420,0.0985986952405176
"Ontario",35,"25-64","Moderate",379700,0.0505630920056516
"Ontario",35,"25-64","Severe",349790,0.0465800999543241
"Ontario",35,"25-64","Very severe",397080,0.0528775153373825
"Ontario",35,"25-44","Total population",3737340,1
"Ontario",35,"25-44","Total with disability",769040,0.205772019671745
"Ontario",35,"25-44","Mild",344720,0.092236724515297
"Ontario",35,"25-44","Moderate",156190,0.041791755633686
"Ontario",35,"25-44","Severe",147650,0.039506707979472
"Ontario",35,"25-44","Very severe",120470,0.0322341558434609
"Ontario",35,"45-64","Total population",3772090,1
"Ontario",35,"45-64","Total with disability",1097930,0.291066756095427
"Ontario",35,"45-64","Mild",395690,0.104899405899647
"Ontario",35,"45-64","Moderate",223500,0.0592509722726658
"Ontario",35,"45-64","Severe",202130,0.0535856779663264
"Ontario",35,"45-64","Very severe",276610,0.0733306999567879
"Ontario",35,"65+","Total population",2374090,1
"Ontario",35,"65+","Total with disability",1031260,0.434381173418025
"Ontario",35,"65+","Mild",294810,0.12417810613751
"Ontario",35,"65+","Moderate",177030,0.074567518501826
