"ref_date","geo","dguid","shelter_type","target","shelter","beds"
2016,"Aurora, Ontario","3519046","Emergency shelter","Total",0,0
2016,"Aurora, Ontario","3519046","Emergency shelter","Youth",0,0
2016,"Aurora, Ontario","3519046","Transitional housing","Family",0,0
2016,"Aurora, Ontario","3519046","Transitional housing","General (all)",0,0
2016,"Aurora, Ontario","3519046","Transitional housing","General (men)",0,0
2016,"Aurora, Ontario","3519046","Transitional housing","General (women)",0,0
2016,"Aurora, Ontario","3519046","Transitional housing","Total",0,0
2016,"Aurora, Ontario","3519046","Transitional housing","Youth",0,0
2016,"Baie-Comeau, Quebec","2496020","Domestic violence shelter","General (women)",2,30
2016,"Baie-Comeau, Quebec","2496020","Domestic violence shelter","Total",2,30
2016,"Baie-Comeau, Quebec","2496020","Emergency shelter","Family",0,0
2016,"Baie-Comeau, Quebec","2496020","Emergency shelter","General (all)",0,0
2016,"Baie-Comeau, Quebec","2496020","Emergency shelter","General (men)",1,17
2016,"Baie-Comeau, Quebec","2496020","Emergency shelter","General (women)",0,0
2016,"Baie-Comeau, Quebec","2496020","Emergency shelter","Total",1,17
2016,"Baie-Comeau, Quebec","2496020","Emergency shelter","Youth",0,0
2016,"Baie-Comeau, Quebec","2496020","Transitional housing","Family",0,0
2016,"Baie-Comeau, Quebec","2496020","Transitional housing","General (all)",0,0
2016,"Baie-Comeau, Quebec","2496020","Transitional housing","General (men)",0,0
2016,"Baie-Comeau, Quebec","2496020","Transitional housing","General (women)",0,0
2016,"Baie-Comeau, Quebec","2496020","Transitional housing","Total",0,0
2016,"Baie-Comeau, Quebec","2496020","Transitional housing","Youth",0,0
2016,"Banff, Alberta","4815035","Domestic violence shelter","General (women)",1,3
2016,"Banff, Alberta","4815035","Domestic violence shelter","Total",1,3
2016,"Banff, Alberta","4815035","Emergency shelter","Family",0,0
2016,"Banff, Alberta","4815035","Emergency shelter","General (all)",0,0
2016,"Banff, Alberta","4815035","Emergency shelter","General (men)",0,0
2016,"Banff, Alberta","4815035","Emergency shelter","General (women)",0,0
2016,"Banff, Alberta","4815035","Emergency shelter","Total",0,0
2016,"Banff, Alberta","4815035","Emergency shelter","Youth",0,0
2016,"Banff, Alberta","4815035","Transitional housing","Family",0,0
2016,"Banff, Alberta","4815035","Transitional housing","General (all)",0,0
2016,"Banff, Alberta","4815035","Transitional housing","General (men)",0,0
2016,"Banff, Alberta","4815035","Transitional housing","General (women)",0,0
2016,"Banff, Alberta","4815035","Transitional housing","Total",0,0
2016,"Banff, Alberta","4815035","Transitional housing","Youth",0,0
2016,"Barrie, Ontario","3543042","Domestic violence shelter","General (women)",1,27
2016,"Barrie, Ontario","3543042","Domestic violence shelter","Total",1,27
2016,"Barrie, Ontario","3543042","Emergency shelter","Family",0,0
2016,"Barrie, Ontario","3543042","Emergency shelter","General (all)",1,20
2016,"Barrie, Ontario","3543042","Emergency shelter","General (men)",1,20
2016,"Barrie, Ontario","3543042","Emergency shelter","General (women)",0,0
2016,"Barrie, Ontario","3543042","Emergency shelter","Total",3,55
2016,"Barrie, Ontario","3543042","Emergency shelter","Youth",1,15
2016,"Barrie, Ontario","3543042","Transitional housing","Family",0,0
2016,"Barrie, Ontario","3543042","Transitional housing","General (all)",0,0
2016,"Barrie, Ontario","3543042","Transitional housing","General (men)",0,0
2016,"Barrie, Ontario","3543042","Transitional housing","General (women)",1,27
2016,"Barrie, Ontario","3543042","Transitional housing","Total",1,27
2016,"Barrie, Ontario","3543042","Transitional housing","Youth",0,0
2016,"Bathurst, New Brunswick","1315011","Domestic violence shelter","General (women)",1,10
2016,"Bathurst, New Brunswick","1315011","Domestic violence shelter","Total",1,10
2016,"Bathurst, New Brunswick","1315011","Emergency shelter","Family",0,0
2016,"Bathurst, New Brunswick","1315011","Emergency shelter","General (all)",1,6
2016,"Bathurst, New Brunswick","1315011","Emergency shelter","General (men)",0,0
2016,"Bathurst, New Brunswick","1315011","Emergency shelter","General (women)",0,0
2016,"Bathurst, New Brunswick","1315011","Emergency shelter","Total",1,6
2016,"Bathurst, New Brunswick","1315011","Emergency shelter","Youth",0,0
2016,"Bathurst, New Brunswick","1315011","Transitional housing","Family",0,0
2016,"Bathurst, New Brunswick","1315011","Transitional housing","General (all)",0,0
2016,"Bathurst, New Brunswick","1315011","Transitional housing","General (men)",0,0
2016,"Bathurst, New Brunswick","1315011","Transitional housing","General (women)",0,0
2016,"Bathurst, New Brunswick","1315011","Transitional housing","Total",0,0
2016,"Bathurst, New Brunswick","1315011","Transitional housing","Youth",0,0
2016,"Battleford, Saskatchewan","4712079","Domestic violence shelter","General (women)",1,34
2016,"Battleford, Saskatchewan","4712079","Domestic violence shelter","Total",1,34
2016,"Battleford, Saskatchewan","4712079","Emergency shelter","Family",0,0
2016,"Battleford, Saskatchewan","4712079","Emergency shelter","General (all)",0,0
2016,"Battleford, Saskatchewan","4712079","Emergency shelter","General (men)",0,0
2016,"Battleford, Saskatchewan","4712079","Emergency shelter","General (women)",0,0
2016,"Battleford, Saskatchewan","4712079","Emergency shelter","Total",0,0
2016,"Battleford, Saskatchewan","4712079","Emergency shelter","Youth",0,0
2016,"Battleford, Saskatchewan","4712079","Transitional housing","Family",0,0
2016,"Battleford, Saskatchewan","4712079","Transitional housing","General (all)",0,0
2016,"Battleford, Saskatchewan","4712079","Transitional housing","General (men)",0,0
2016,"Battleford, Saskatchewan","4712079","Transitional housing","General (women)",0,0
2016,"Battleford, Saskatchewan","4712079","Transitional housing","Total",0,0
2016,"Battleford, Saskatchewan","4712079","Transitional housing","Youth",0,0
2016,"Bear Island, Ontario","3548072","Domestic violence shelter","General (women)",1,4
2016,"Bear Island, Ontario","3548072","Domestic violence shelter","Total",1,4
2016,"Bear Island, Ontario","3548072","Emergency shelter","Family",0,0
2016,"Bear Island, Ontario","3548072","Emergency shelter","General (all)",0,0
2016,"Bear Island, Ontario","3548072","Emergency shelter","General (men)",0,0
2016,"Bear Island, Ontario","3548072","Emergency shelter","General (women)",0,0
2016,"Bear Island, Ontario","3548072","Emergency shelter","Total",0,0
2016,"Bear Island, Ontario","3548072","Emergency shelter","Youth",0,0
2016,"Bear Island, Ontario","3548072","Transitional housing","Family",0,0
2016,"Bear Island, Ontario","3548072","Transitional housing","General (all)",0,0
2016,"Bear Island, Ontario","3548072","Transitional housing","General (men)",0,0
2016,"Bear Island, Ontario","3548072","Transitional housing","General (women)",0,0
2016,"Bear Island, Ontario","3548072","Transitional housing","Total",0,0
2016,"Bear Island, Ontario","3548072","Transitional housing","Youth",0,0
2016,"Bella Coola 1, British Columbia","5945802","Domestic violence shelter","General (women)",1,15
2016,"Bella Coola 1, British Columbia","5945802","Domestic violence shelter","Total",1,15
2016,"Bella Coola 1, British Columbia","5945802","Emergency shelter","Family",0,0
2016,"Bella Coola 1, British Columbia","5945802","Emergency shelter","General (all)",0,0
2016,"Bella Coola 1, British Columbia","5945802","Emergency shelter","General (men)",0,0
2016,"Bella Coola 1, British Columbia","5945802","Emergency shelter","General (women)",0,0
2016,"Bella Coola 1, British Columbia","5945802","Emergency shelter","Total",0,0
2016,"Bella Coola 1, British Columbia","5945802","Emergency shelter","Youth",0,0
2016,"Bella Coola 1, British Columbia","5945802","Transitional housing","Family",0,0
2016,"Bella Coola 1, British Columbia","5945802","Transitional housing","General (all)",0,0
2016,"Bella Coola 1, British Columbia","5945802","Transitional housing","General (men)",0,0
2016,"Bella Coola 1, British Columbia","5945802","Transitional housing","General (women)",0,0
2016,"Bella Coola 1, British Columbia","5945802","Transitional housing","Total",0,0
2016,"Bella Coola 1, British Columbia","5945802","Transitional housing","Youth",0,0
2016,"Belleville, Ontario","3512005","Domestic violence shelter","General (women)",1,16
2016,"Belleville, Ontario","3512005","Domestic violence shelter","Total",1,16
2016,"Belleville, Ontario","3512005","Emergency shelter","Family",0,0
2016,"Belleville, Ontario","3512005","Emergency shelter","General (all)",0,0
2016,"Belleville, Ontario","3512005","Emergency shelter","General (men)",0,0
2016,"Belleville, Ontario","3512005","Emergency shelter","General (women)",0,0
2016,"Belleville, Ontario","3512005","Emergency shelter","Total",0,0
2016,"Belleville, Ontario","3512005","Emergency shelter","Youth",0,0
2016,"Belleville, Ontario","3512005","Transitional housing","Family",0,0
2016,"Belleville, Ontario","3512005","Transitional housing","General (all)",3,25
2016,"Belleville, Ontario","3512005","Transitional housing","General (men)",0,0
2016,"Belleville, Ontario","3512005","Transitional housing","General (women)",0,0
2016,"Belleville, Ontario","3512005","Transitional housing","Total",3,25
2016,"Belleville, Ontario","3512005","Transitional housing","Youth",0,0
2016,"Big Trout Lake, Ontario",NA,"Domestic violence shelter","General (women)",1,18
2016,"Big Trout Lake, Ontario",NA,"Domestic violence shelter","Total",1,18
2016,"Big Trout Lake, Ontario",NA,"Emergency shelter","Family",0,0
2016,"Big Trout Lake, Ontario",NA,"Emergency shelter","General (all)",0,0
2016,"Big Trout Lake, Ontario",NA,"Emergency shelter","General (men)",0,0
2016,"Big Trout Lake, Ontario",NA,"Emergency shelter","General (women)",0,0
2016,"Big Trout Lake, Ontario",NA,"Emergency shelter","Total",0,0
2016,"Big Trout Lake, Ontario",NA,"Emergency shelter","Youth",0,0
2016,"Big Trout Lake, Ontario",NA,"Transitional housing","Family",0,0
2016,"Big Trout Lake, Ontario",NA,"Transitional housing","General (all)",0,0
2016,"Big Trout Lake, Ontario",NA,"Transitional housing","General (men)",0,0
2016,"Big Trout Lake, Ontario",NA,"Transitional housing","General (women)",0,0
2016,"Big Trout Lake, Ontario",NA,"Transitional housing","Total",0,0
2016,"Big Trout Lake, Ontario",NA,"Transitional housing","Youth",0,0
2016,"Black Diamond, Alberta","4806011","Domestic violence shelter","General (women)",1,6
2016,"Black Diamond, Alberta","4806011","Domestic violence shelter","Total",1,6
2016,"Black Diamond, Alberta","4806011","Emergency shelter","Family",0,0
2016,"Black Diamond, Alberta","4806011","Emergency shelter","General (all)",0,0
2016,"Black Diamond, Alberta","4806011","Emergency shelter","General (men)",0,0
2016,"Black Diamond, Alberta","4806011","Emergency shelter","General (women)",0,0
2016,"Black Diamond, Alberta","4806011","Emergency shelter","Total",0,0
2016,"Black Diamond, Alberta","4806011","Emergency shelter","Youth",0,0
2016,"Black Diamond, Alberta","4806011","Transitional housing","Family",0,0
2016,"Black Diamond, Alberta","4806011","Transitional housing","General (all)",0,0
2016,"Black Diamond, Alberta","4806011","Transitional housing","General (men)",0,0
2016,"Black Diamond, Alberta","4806011","Transitional housing","General (women)",0,0
2016,"Black Diamond, Alberta","4806011","Transitional housing","Total",0,0
2016,"Black Diamond, Alberta","4806011","Transitional housing","Youth",0,0
2016,"Blind River, Ontario","3557038","Domestic violence shelter","General (women)",0,0
2016,"Blind River, Ontario","3557038","Domestic violence shelter","Total",0,0
2016,"Blind River, Ontario","3557038","Emergency shelter","Family",0,0
2016,"Blind River, Ontario","3557038","Emergency shelter","General (all)",0,0
2016,"Blind River, Ontario","3557038","Emergency shelter","General (men)",0,0
2016,"Blind River, Ontario","3557038","Emergency shelter","General (women)",0,0
2016,"Blind River, Ontario","3557038","Emergency shelter","Total",0,0
2016,"Blind River, Ontario","3557038","Emergency shelter","Youth",0,0
2016,"Blind River, Ontario","3557038","Transitional housing","Family",0,0
2016,"Blind River, Ontario","3557038","Transitional housing","General (all)",0,0
2016,"Blind River, Ontario","3557038","Transitional housing","General (men)",0,0
2016,"Blind River, Ontario","3557038","Transitional housing","General (women)",1,10
2016,"Blind River, Ontario","3557038","Transitional housing","Total",1,10
2016,"Blind River, Ontario","3557038","Transitional housing","Youth",0,0
2016,"Bowmanville, Ontario",NA,"Domestic violence shelter","General (women)",1,18
2016,"Bowmanville, Ontario",NA,"Domestic violence shelter","Total",1,18
2016,"Bowmanville, Ontario",NA,"Emergency shelter","Family",0,0
2016,"Bowmanville, Ontario",NA,"Emergency shelter","General (all)",0,0
2016,"Bowmanville, Ontario",NA,"Emergency shelter","General (men)",0,0
2016,"Bowmanville, Ontario",NA,"Emergency shelter","General (women)",0,0
2016,"Bowmanville, Ontario",NA,"Emergency shelter","Total",0,0
2016,"Bowmanville, Ontario",NA,"Emergency shelter","Youth",0,0
2016,"Bowmanville, Ontario",NA,"Transitional housing","Family",0,0
2016,"Bowmanville, Ontario",NA,"Transitional housing","General (all)",0,0
2016,"Bowmanville, Ontario",NA,"Transitional housing","General (men)",0,0
2016,"Bowmanville, Ontario",NA,"Transitional housing","General (women)",0,0
2016,"Bowmanville, Ontario",NA,"Transitional housing","Total",0,0
2016,"Bowmanville, Ontario",NA,"Transitional housing","Youth",0,0
2016,"Bracebridge, Ontario","3544018","Domestic violence shelter","General (women)",1,15
2016,"Bracebridge, Ontario","3544018","Domestic violence shelter","Total",1,15
2016,"Bracebridge, Ontario","3544018","Emergency shelter","Family",0,0
2016,"Bracebridge, Ontario","3544018","Emergency shelter","General (all)",0,0
2016,"Bracebridge, Ontario","3544018","Emergency shelter","General (men)",0,0
2016,"Bracebridge, Ontario","3544018","Emergency shelter","General (women)",0,0
2016,"Bracebridge, Ontario","3544018","Emergency shelter","Total",0,0
2016,"Bracebridge, Ontario","3544018","Emergency shelter","Youth",0,0
2016,"Bracebridge, Ontario","3544018","Transitional housing","Family",0,0
2016,"Bracebridge, Ontario","3544018","Transitional housing","General (all)",0,0
2016,"Bracebridge, Ontario","3544018","Transitional housing","General (men)",0,0
2016,"Bracebridge, Ontario","3544018","Transitional housing","General (women)",0,0
2016,"Bracebridge, Ontario","3544018","Transitional housing","Total",0,0
2016,"Bracebridge, Ontario","3544018","Transitional housing","Youth",0,0
