"ref_date","geo","dguid","field","value"
"2016/2017","New Brunswick","13","Business management and public administration",6653
"2016/2017","New Brunswick","13","Physical and life sciences and technologies",6957
"2016/2017","New Brunswick","13","Mathematics, computer and information sciences",6550
"2016/2017","New Brunswick","13","Engineering",7228
"2016/2017","New Brunswick","13","Agriculture, natural resources and conservation",6712
"2016/2017","New Brunswick","13","Nursing",6200
"2016/2017","New Brunswick","13","Other health, parks, recreation and fitness",6123
"2016/2017","Moncton","305","Total, field of study",5716
"2016/2017","Moncton","305","Education",5716
"2016/2017","Moncton","305","Visual and performing arts, and communications technologies",5716
"2016/2017","Moncton","305","Humanities",5716
"2016/2017","Moncton","305","Social and behavioural sciences, and legal studies",5716
"2016/2017","Moncton","305","Law",5716
"2016/2017","Moncton","305","Business management and public administration",5716
"2016/2017","Moncton","305","Physical and life sciences and technologies",5716
"2016/2017","Moncton","305","Mathematics, computer and information sciences",5716
"2016/2017","Moncton","305","Engineering",5716
"2016/2017","Moncton","305","Agriculture, natural resources and conservation",5716
"2016/2017","Moncton","305","Nursing",5716
"2016/2017","Moncton","305","Other health, parks, recreation and fitness",5716
"2016/2017","Fredericton","320","Total, field of study",6798
"2016/2017","Fredericton","320","Education",7242
"2016/2017","Fredericton","320","Humanities",6384
"2016/2017","Fredericton","320","Social and behavioural sciences, and legal studies",6353
"2016/2017","Fredericton","320","Law",10329
"2016/2017","Fredericton","320","Business management and public administration",6946
"2016/2017","Fredericton","320","Physical and life sciences and technologies",6496
"2016/2017","Fredericton","320","Mathematics, computer and information sciences",6496
"2016/2017","Fredericton","320","Engineering",7509
"2016/2017","Fredericton","320","Agriculture, natural resources and conservation",6696
"2016/2017","Fredericton","320","Nursing",6496
"2016/2017","Fredericton","320","Other health, parks, recreation and fitness",6496
"2016/2017","Sackville","1307009","Total, field of study",7765
"2016/2017","Sackville","1307009","Visual and performing arts, and communications technologies",7765
"2016/2017","Sackville","1307009","Humanities",7765
"2016/2017","Sackville","1307009","Social and behavioural sciences, and legal studies",7765
"2016/2017","Sackville","1307009","Business management and public administration",7765
"2016/2017","Sackville","1307009","Physical and life sciences and technologies",7765
"2016/2017","Sackville","1307009","Mathematics, computer and information sciences",7765
"2016/2017","Sackville","1307009","Agriculture, natural resources and conservation",7765
"2016/2017","Quebec","24","Total, field of study",2817
"2016/2017","Quebec","24","Education",2454
"2016/2017","Quebec","24","Visual and performing arts, and communications technologies",3218
"2016/2017","Quebec","24","Humanities",3680
"2016/2017","Quebec","24","Social and behavioural sciences, and legal studies",2895
"2016/2017","Quebec","24","Law",2842
"2016/2017","Quebec","24","Business management and public administration",2662
"2016/2017","Quebec","24","Physical and life sciences and technologies",3052
"2016/2017","Quebec","24","Mathematics, computer and information sciences",2866
"2016/2017","Quebec","24","Engineering",2755
"2016/2017","Quebec","24","Architecture",2840
"2016/2017","Quebec","24","Agriculture, natural resources and conservation",2708
"2016/2017","Quebec","24","Dentistry",3596
"2016/2017","Quebec","24","Medicine",2675
"2016/2017","Quebec","24","Nursing",2548
"2016/2017","Quebec","24","Pharmacy",2489
"2016/2017","Quebec","24","Veterinary medicine",2481
"2016/2017","Quebec","24","Other health, parks, recreation and fitness",2883
"2016/2017","Quebec","24","Personal, protective and transportation services",2340
"2016/2017","Montreal","462","Total, field of study",3035
"2016/2017","Montreal","462","Education",2540
"2016/2017","Montreal","462","Visual and performing arts, and communications technologies",3399
"2016/2017","Montreal","462","Humanities",4067
"2016/2017","Montreal","462","Social and behavioural sciences, and legal studies",3037
"2016/2017","Montreal","462","Law",3636
"2016/2017","Montreal","462","Business management and public administration",2792
"2016/2017","Montreal","462","Physical and life sciences and technologies",3274
"2016/2017","Montreal","462","Mathematics, computer and information sciences",3179
"2016/2017","Montreal","462","Engineering",2906
"2016/2017","Montreal","462","Architecture",3065
