"CSDUID","CDUID","PRUID","area_km2","precip_extrapolated","r20mm_2025","r20mm_2050","cdd_2025","cdd_2050","r1mm_2025","r1mm_2050","sdii_2025","sdii_2050","r95days_2025","r95days_2050","r99days_2025","r99days_2050","r20mm_2025_cd_mean","r20mm_2050_cd_mean","cdd_2025_cd_mean","cdd_2050_cd_mean","r1mm_2025_cd_mean","r1mm_2050_cd_mean","sdii_2025_cd_mean","sdii_2050_cd_mean","r95days_2025_cd_mean","r95days_2050_cd_mean","r99days_2025_cd_mean","r99days_2050_cd_mean","r20mm_2025_pr_mean","r20mm_2050_pr_mean","cdd_2025_pr_mean","cdd_2050_pr_mean","r1mm_2025_pr_mean","r1mm_2050_pr_mean","sdii_2025_pr_mean","sdii_2050_pr_mean","r95days_2025_pr_mean","r95days_2050_pr_mean","r99days_2025_pr_mean","r99days_2050_pr_mean","r20mm_2025_pctile_national","r20mm_2050_pctile_national","cdd_2025_pctile_national","cdd_2050_pctile_national","r1mm_2025_pctile_national","r1mm_2050_pctile_national","sdii_2025_pctile_national","sdii_2050_pctile_national","r95days_2025_pctile_national","r95days_2050_pctile_national","r99days_2025_pctile_national","r99days_2050_pctile_national"
"5903027","5903","59",0.893169278233683,FALSE,3,2,19,18,146,150,5.32261085510254,5.3812427520752,8,8,2,2,2.10593008638709,1.9811527426943,17.9400222375004,18.0449276055418,161.406034039514,164.990358185281,5.46405119250868,5.60007601552166,8.92749793743166,9.68270928028477,2.18027409881031,2.00023162836113,5.74722121234313,6.69573108383557,18.1611495300033,17.0791144949831,153.481193542796,159.0791634398,5.44630886917885,5.7199361380973,7.94923841798132,9.28129927307091,1.46733359134955,1.86942441637311,42.5,28.9,52.7,52.4,62,64.8,43.3,42.9,65.4,47.2,88.3,64.1
"5919049","5919","59",33.606762941933,FALSE,10,11,31.5,30,138.5,138.5,7.40515470504761,7.51392078399658,7.5,7.5,1,1,27.2070831192296,31.243750345632,23.8240204647796,22.1251448591685,168.848532190193,168.175170112369,11.3340440312154,11.967312619227,9.18434471955598,9.71223677727978,1.68555278477546,1.71361916280737,5.74722121234313,6.69573108383557,18.1611495300033,17.0791144949831,153.481193542796,159.0791634398,5.44630886917885,5.7199361380973,7.94923841798132,9.28129927307091,1.46733359134955,1.86942441637311,82.6,83.4,98.3,98.1,51.2,49.7,85,77,57.5,43.3,35.5,24.8
"5921014","5921","59",301.953369223223,FALSE,9.33333333333333,9.66666666666667,28.5,27.8333333333333,145.333333333333,145.666666666667,6.98244261741638,7.34852004051208,7.5,8,1,1.16666666666667,20.12904252031,23.3092058810076,23.6987452925468,22.9515981651765,165.853664909145,165.524294402171,9.45019594307668,10.0500216207582,9.29421959247735,9.83166260793693,1.66463364229136,1.52849660695659,5.74722121234313,6.69573108383557,18.1611495300033,17.0791144949831,153.481193542796,159.0791634398,5.44630886917885,5.7199361380973,7.94923841798132,9.28129927307091,1.46733359134955,1.86942441637311,79.2,71.9,91.8,94.1,61,59.3,73.3,71.6,57.5,47.2,35.5,42.8
"5921016","5921","59",1540.47996647683,FALSE,24.9230769230769,29.2051282051282,22.3846153846154,21.025641025641,172.282051282051,171.641025641026,10.5798131991655,11.2069921615796,9.71794871794872,10.1794871794872,1.79487179487179,1.69230769230769,20.12904252031,23.3092058810076,23.6987452925468,22.9515981651765,165.853664909145,165.524294402171,9.45019594307668,10.0500216207582,9.29421959247735,9.83166260793693,1.66463364229136,1.52849660695659,5.74722121234313,6.69573108383557,18.1611495300033,17.0791144949831,153.481193542796,159.0791634398,5.44630886917885,5.7199361380973,7.94923841798132,9.28129927307091,1.46733359134955,1.86942441637311,98.2,98.3,63.5,60.7,94.4,93.5,98.3,98.4,94.7,86.3,76.2,46.5
"5921018","5921","59",16.7411020489722,FALSE,11.25,11.75,25.5,24.5,158,157,7.14162886142731,7.64471125602722,9.25,9.75,1.25,1.5,20.12904252031,23.3092058810076,23.6987452925468,22.9515981651765,165.853664909145,165.524294402171,9.45019594307668,10.0500216207582,9.29421959247735,9.83166260793693,1.66463364229136,1.52849660695659,5.74722121234313,6.69573108383557,18.1611495300033,17.0791144949831,153.481193542796,159.0791634398,5.44630886917885,5.7199361380973,7.94923841798132,9.28129927307091,1.46733359134955,1.86942441637311,86.8,86.4,81.6,78.8,79.1,73.9,78.9,81.3,89.5,76.2,66.5,44.9
"5921023","5921","59",20.0403690074569,FALSE,12.25,14,24.75,24.5,160.25,159.75,7.60495471954346,8.145960688591,9.25,10,1.75,1.75,20.12904252031,23.3092058810076,23.6987452925468,22.9515981651765,165.853664909145,165.524294402171,9.45019594307668,10.0500216207582,9.29421959247735,9.83166260793693,1.66463364229136,1.52849660695659,5.74722121234313,6.69573108383557,18.1611495300033,17.0791144949831,153.481193542796,159.0791634398,5.44630886917885,5.7199361380973,7.94923841798132,9.28129927307091,1.46733359134955,1.86942441637311,89.1,90.4,77,78.8,81.3,77.4,87.4,89.3,89.5,82,75.5,47
"4713835","4713","47",85.1362458776676,FALSE,1.5,2,26.25,26.375,76.375,82.125,4.45548498630524,4.72783941030502,4.875,4.75,0,1,1.45891253732069,1.66937906816441,29.6751097731073,27.6609429761582,72.4661392076969,74.2433733513081,4.56017617290851,4.7023222367902,4.11110071861812,4.00561165640005,0.642920846441783,0.998272338780361,1.40017369892951,1.38054193650059,24.1057204274132,23.5382879424002,92.700497045228,92.7209126289372,4.30804952966455,4.30899256707638,4.79131732404358,4.76836656361725,0.976542775809371,0.949090164497736,18.8,28.9,84.7,89.9,6.5,12.9,15.7,26.8,27.9,22.8,1.6,24.8
"4713836","4713","47",76.1775496845002,FALSE,1.75,2,25.25,26.25,77.875,83,4.56677037477493,4.83696436882019,4.25,4.875,0.125,1,1.45891253732069,1.66937906816441,29.6751097731073,27.6609429761582,72.4661392076969,74.2433733513081,4.56017617290851,4.7023222367902,4.11110071861812,4.00561165640005,0.642920846441783,0.998272338780361,1.40017369892951,1.38054193650059,24.1057204274132,23.5382879424002,92.700497045228,92.7209126289372,4.30804952966455,4.30899256707638,4.79131732404358,4.76836656361725,0.976542775809371,0.949090164497736,20.3,28.9,80.8,89.7,8.3,13.8,20.7,33.2,23.4,23.9,3.3,24.8
"4713837","4713","47",4.73634911177433,FALSE,2.5,2,26,25.5,79.5,81.5,4.50193333625793,4.5613579750061,4,4,1,1,1.45891253732069,1.66937906816441,29.6751097731073,27.6609429761582,72.4661392076969,74.2433733513081,4.56017617290851,4.7023222367902,4.11110071861812,4.00561165640005,0.642920846441783,0.998272338780361,1.40017369892951,1.38054193650059,24.1057204274132,23.5382879424002,92.700497045228,92.7209126289372,4.30804952966455,4.30899256707638,4.79131732404358,4.76836656361725,0.976542775809371,0.949090164497736,39.1,28.9,83.4,86,10.6,12.2,17.6,18.9,14.9,12.9,35.5,24.8
"4715049","4715","47",2.39618286602958,FALSE,1,2,24,23,86,86,4.43499803543091,4.69085502624512,4,4,1,1,1.78418155752582,1.54256892128482,25.1353237194647,24.2517694559601,83.9253919750061,83.2547508300704,4.57523222255845,4.59748397808951,4.20161421972198,4.1170128622435,0.997351937162256,0.896278634909807,1.40017369892951,1.38054193650059,24.1057204274132,23.5382879424002,92.700497045228,92.7209126289372,4.30804952966455,4.30899256707638,4.79131732404358,4.76836656361725,0.976542775809371,0.949090164497736,12.3,28.9,72.8,68.7,18.6,18.2,15,25.2,14.9,12.9,35.5,24.8
