"csd","date","topic","t_total","t_single","t_semi","t_row","t_apt","h_total","h_single","h_semi","h_row","h_apt","r_total","r_single","r_semi","r_row","r_apt","co_total","co_single","co_semi","co_row","co_apt","cp_total","cp_single","cp_semi","cp_row","cp_apt"
"10","1990-07-01","under construction",1417,996,40,24,357,1218,996,12,8,202,199,0,28,16,155,0,0,0,0,0,0,0,0,0,0
"10","1991-07-01","under construction",951,658,14,28,251,857,657,4,0,196,76,1,10,10,55,0,0,0,0,0,18,0,0,18,0
"10","1992-07-01","under construction",809,516,0,26,267,693,516,0,0,177,116,0,0,26,90,0,0,0,0,0,0,0,0,0,0
"10","1993-07-01","under construction",809,450,24,41,294,705,449,8,0,248,104,1,16,41,46,0,0,0,0,0,0,0,0,0,0
"10","1994-07-01","under construction",697,429,6,44,218,669,429,6,16,218,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"10","1995-07-01","under construction",660,329,40,54,237,596,329,40,26,201,64,0,0,28,36,0,0,0,0,0,0,0,0,0,0
"10","1996-07-01","under construction",760,432,78,48,202,670,432,78,8,152,90,0,0,40,50,0,0,0,0,0,0,0,0,0,0
"10","1997-07-01","under construction",639,357,84,28,170,565,357,84,4,120,62,0,0,24,38,12,0,0,0,12,0,0,0,0,0
"10","1998-07-01","under construction",533,312,54,28,139,418,312,54,10,42,75,0,0,18,57,40,0,0,0,40,0,0,0,0,0
"10","1999-07-01","under construction",479,436,16,5,22,474,436,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2000-07-01","under construction",563,486,22,12,43,546,484,10,12,40,0,0,0,0,0,15,0,12,0,3,0,0,0,0,0
"10","2001-07-01","under construction",639,516,18,33,72,590,515,4,19,52,14,0,0,14,0,34,0,14,0,20,0,0,0,0,0
"10","2002-07-01","under construction",767,585,24,38,120,705,585,24,16,80,40,0,0,0,40,22,0,0,22,0,0,0,0,0,0
"10","2003-07-01","under construction",1005,687,44,107,167,913,687,44,70,112,16,0,0,12,4,76,0,0,25,51,0,0,0,0,0
"10","2004-07-01","under construction",1185,778,138,49,220,1091,778,136,39,138,33,0,0,4,29,61,0,2,6,53,0,0,0,0,0
"10","2005-07-01","under construction",1015,690,98,41,186,953,690,98,35,130,4,0,0,0,4,58,0,0,6,52,0,0,0,0,0
"10","2006-07-01","under construction",880,634,44,20,182,825,634,44,15,132,18,0,0,0,18,37,0,0,5,32,0,0,0,0,0
"10","2007-07-01","under construction",1127,849,54,46,178,1057,849,50,20,138,24,0,4,20,0,46,0,0,6,40,0,0,0,0,0
"10","2008-07-01","under construction",1538,1180,80,57,221,1439,1180,78,9,172,39,0,0,17,22,60,0,2,31,27,0,0,0,0,0
"10","2009-07-01","under construction",1586,1265,24,42,255,1427,1256,22,3,146,29,0,2,6,21,130,9,0,33,88,0,0,0,0,0
"10","2010-07-01","under construction",1669,1273,20,60,316,1529,1256,18,17,238,42,0,2,28,12,98,17,0,15,66,0,0,0,0,0
"10","2011-07-01","under construction",1765,1176,8,96,485,1552,1175,8,21,348,60,0,0,26,34,153,1,0,49,103,0,0,0,0,0
"10","2012-07-01","under construction",2124,1236,22,72,794,1657,1236,16,27,378,113,0,4,3,106,354,0,2,42,310,0,0,0,0,0
"10","2013-07-01","under construction",1833,1238,10,51,534,1265,1237,8,20,0,379,0,0,26,353,189,1,2,5,181,0,0,0,0,0
"10","2014-07-01","under construction",1512,951,18,113,430,1001,951,18,32,0,271,0,0,45,226,227,0,0,30,197,0,0,0,0,0
"10","2015-07-01","under construction",1173,787,34,46,306,839,787,32,20,0,272,0,2,10,260,62,0,0,16,46,0,0,0,0,0
"10","2016-07-01","under construction",883,619,72,75,117,749,619,72,58,0,100,0,0,13,87,34,0,0,4,30,0,0,0,0,0
"10","2017-07-01","under construction",945,520,90,208,127,701,511,82,98,10,156,9,8,68,71,88,0,0,42,46,0,0,0,0,0
"10","2018-07-01","under construction",714,396,46,116,156,492,393,42,57,0,64,3,2,18,41,158,0,2,41,115,0,0,0,0,0
"10","2019-07-01","under construction",652,382,48,65,157,432,382,30,20,0,89,0,8,8,73,131,0,10,37,84,0,0,0,0,0
"10","2020-07-01","under construction",510,370,54,54,32,444,370,50,22,2,38,0,0,8,30,28,0,4,24,0,0,0,0,0,0
"10","2021-07-01","under construction",543,401,54,60,28,489,401,50,38,0,30,0,2,0,28,24,0,2,22,0,0,0,0,0,0
"10","2022-07-01","under construction",656,475,46,19,116,537,475,46,16,0,119,0,0,3,116,0,0,0,0,0,0,0,0,0,0
"10","2023-07-01","under construction",616,389,52,17,158,456,387,52,17,0,157,2,0,0,155,3,0,0,0,3,0,0,0,0,0
"10","2024-07-01","under construction",950,604,92,18,236,705,603,92,10,0,241,1,0,8,232,4,0,0,0,4,0,0,0,0,0
"10","2025-07-01","under construction",973,584,60,61,268,694,583,60,51,0,279,1,0,10,268,0,0,0,0,0,0,0,0,0,0
"1001472","2023-07-01","starts",5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001472","2024-07-01","starts",24,14,0,0,10,14,14,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"1001472","2025-07-01","starts",34,19,0,10,5,19,19,0,0,0,15,0,0,10,5,0,0,0,0,0,0,0,0,0,0
"1001472","2023-07-01","completions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001472","2024-07-01","completions",12,11,0,0,1,11,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1001472","2025-07-01","completions",8,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001472","2023-07-01","under construction",5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001472","2024-07-01","under construction",17,8,0,0,9,8,8,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"1001472","2025-07-01","under construction",42,18,0,10,14,18,18,0,0,0,24,0,0,10,14,0,0,0,0,0,0,0,0,0,0
"1001485","1990-07-01","starts",156,156,0,0,0,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1991-07-01","starts",174,168,6,0,0,168,168,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1992-07-01","starts",163,154,2,0,7,161,154,0,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1993-07-01","starts",209,165,16,0,28,165,165,0,0,0,44,0,16,0,28,0,0,0,0,0,0,0,0,0,0
"1001485","1994-07-01","starts",177,177,0,0,0,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1995-07-01","starts",110,110,0,0,0,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1996-07-01","starts",125,125,0,0,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1997-07-01","starts",98,96,0,0,2,98,96,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1998-07-01","starts",68,68,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1999-07-01","starts",109,109,0,0,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
