Name of Operating Agency,Housing/Shelter/Program Name,Ownership-Type,Housing-Type,Service/Support Model,Affordability Metric,Tenure-Model,Populations/Client Groups Served,# of beds,# of units,Studio,1-bed,2-bed,3-bed,4+-bed,County,Location (by community),CSD code,Referral Method
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,6,,,,,,Prince,Bedeque,1103015,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,30,,,,,,Prince,Borden,1103005,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,100,,,,,,Prince,Kensington,1103014,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,5,,,,,,Prince,Kinkora,1103008,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,17,,,,,,Prince,Miscouche,1103024,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,6,,,,,,Prince,Mont Carmel,1103020,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,49,,,,,,Prince,O’Leary,1103042,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,4,,,,,,Prince,St. Louis,1103057,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,417,,,,,,Prince,Summerside,1103025,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,30,,,,,,Prince,Tignish,1103059,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,5,,,,,,Prince,Tyne Valley,1103033,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,17,,,,,,Prince,Wellington,1103029,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,6,,,,,,Kings,Wilmot,1101003,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,"Private Market (affordable, partnership-based)",Subsidized Market,,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,339,,,,,,Queens,,#N/A,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,"Private Market (affordable, partnership-based)",Subsidized Market,,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,83,,,,,,Prince,,#N/A,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,"Private Market (affordable, partnership-based)",Subsidized Market,,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,36,,,,,,Kings,,#N/A,Social Housing Registry + By-Names List/Coordinated Access
Hensley Green,Hensley Green,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,26,,,,,,Queens,Charlottetown,1102075,Self-referral
Dawson Court,Dawson Court,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,6,,,,,,Queens,Charlottetown,1102075,Self-referral
Get Together,Get Together,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,4,,,,,,Prince,Summerside,1103025,Self-referral
Gateway,Gateway,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,28,,,,,,Queens,Charlottetown,1102075,Self-referral
Island Unity Land Cooperative,Island Unity Land Cooperative,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,56,,,,,,Prince,Summerside,1103025,Self-referral
Coopérative Le Chez-Nous Ltée,Coopérative Le Chez-Nous Ltée,Provincial-Community Partnership,Co-operative,,Low-End of Market,Community Care Facility,Seniors,,45,,42,3,,,Prince,Wellington,1103029,Self-referral
Coopérative d'habitation Gabriel Ltée,Coopérative d'habitation Gabriel Ltée,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,10,,,,,,Prince,Wellington,1103029,Self-referral
Island View,Island View,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,24,,,,,,Queens,Charlottetown,1102075,Self-referral
Kings Square ,Kings Square ,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,16,,,,,,Queens,Charlottetown,1102075,Self-referral
Pownal Square,Pownal Square,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,29,,,,,,Queens,Charlottetown,1102075,Self-referral
Princely,Princely,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,6,,,,,,Queens,Charlottetown,1102075,Self-referral
