"ref_date","dguid","index","value"
2024,1006015,"Housing",0.0657
2024,1006015,"Transportation",0.1268
2024,1006017,"Housing and transportation",0.2961
2024,1006017,"Housing",0.1597
2024,1006017,"Transportation",0.1364
2024,1006019,"Housing and transportation",0.2985
2024,1006019,"Housing",0.1474
2024,1006019,"Transportation",0.1511
2024,1006021,"Housing and transportation",0.3172
2024,1006021,"Housing",0.1414
2024,1006021,"Transportation",0.1759
2024,1006022,"Housing and transportation",0.3245
2024,1006022,"Housing",0.1602
2024,1006022,"Transportation",0.1643
2024,1006026,"Transportation",0.1407
2024,1006031,"Transportation",0.1876
2024,1007001,"Housing and transportation",0.3101
2024,1007001,"Housing",0.0577
2024,1007001,"Transportation",0.2524
2024,1007006,"Housing and transportation",0.3004
2024,1007006,"Housing",0.0719
2024,1007006,"Transportation",0.2286
2024,1007009,"Housing and transportation",0.3758
2024,1007009,"Housing",0.138
2024,1007009,"Transportation",0.2378
2024,1007013,"Housing and transportation",0.362
2024,1007013,"Housing",0.1572
2024,1007013,"Transportation",0.2048
2024,1007014,"Transportation",0.275
2024,1007016,"Transportation",0.2559
2024,1007020,"Transportation",0.2671
2024,1007022,"Housing and transportation",0.3837
2024,1007022,"Housing",0.1045
2024,1007022,"Transportation",0.2792
2024,1007023,"Housing and transportation",0.3718
2024,1007023,"Housing",0.1027
2024,1007023,"Transportation",0.269
2024,1007024,"Transportation",0.3123
2024,1007028,"Housing and transportation",0.337
2024,1007028,"Housing",0.0444
2024,1007028,"Transportation",0.2925
2024,1007031,"Housing and transportation",0.3024
2024,1007031,"Housing",0.0583
2024,1007031,"Transportation",0.2441
2024,1007032,"Transportation",0.2633
2024,1007036,"Transportation",0.2457
2024,1007037,"Transportation",0.2409
2024,1007038,"Transportation",0.2559
2024,1007042,"Transportation",0.2652
2024,1007044,"Housing and transportation",0.3536
2024,1007044,"Housing",0.1203
2024,1007044,"Transportation",0.2333
2024,1007047,"Housing and transportation",0.3673
2024,1007047,"Housing",0.1166
2024,1007047,"Transportation",0.2507
2024,1007049,"Transportation",0.2902
2024,1007050,"Transportation",0.275
2024,1007054,"Housing and transportation",0.2833
2024,1007054,"Housing",0.0633
2024,1007054,"Transportation",0.22
2024,1007057,"Transportation",0.275
2024,1007060,"Housing and transportation",0.3
2024,1007060,"Housing",0.0864
2024,1007060,"Transportation",0.2137
2024,1008004,"Transportation",0.1166
2024,1008006,"Transportation",0.1457
2024,1008008,"Housing and transportation",0.235
2024,1008008,"Housing",0.0648
2024,1008008,"Transportation",0.1702
2024,1008011,"Transportation",0.1716
2024,1008031,"Housing and transportation",0.2403
2024,1008031,"Housing",0.0673
2024,1008031,"Transportation",0.173
2024,1008033,"Transportation",0.1565
2024,1008035,"Housing and transportation",0.2673
2024,1008035,"Housing",0.1131
2024,1008035,"Transportation",0.1542
2024,1008036,"Transportation",0.1759
2024,1008037,"Transportation",0.1409
2024,1008038,"Transportation",0.1438
2024,1008039,"Housing and transportation",0.2292
2024,1008039,"Housing",0.075
2024,1008039,"Transportation",0.1542
2024,1008040,"Housing and transportation",0.2043
2024,1008040,"Housing",0.0697
2024,1008040,"Transportation",0.1347
2024,1008042,"Transportation",0.1467
2024,1008043,"Transportation",0.1488
2024,1008044,"Housing and transportation",0.2941
2024,1008044,"Housing",0.1541
2024,1008044,"Transportation",0.14
2024,1008046,"Transportation",0.1867
2024,1008048,"Transportation",0.1447
2024,1008049,"Transportation",0.1542
2024,1008053,"Transportation",0.1428
2024,1008054,"Housing and transportation",0.2156
2024,1008054,"Housing",0.0949
2024,1008054,"Transportation",0.1207
2024,1008058,"Transportation",0.1419
2024,1008059,"Transportation",0.1744
2024,1008060,"Transportation",0.1498
2024,1008061,"Housing and transportation",0.264
2024,1008061,"Housing",0.1173
2024,1008061,"Transportation",0.1467
2024,1008065,"Housing and transportation",0.2234
2024,1008065,"Housing",0.0558
2024,1008065,"Transportation",0.1675
2024,1008067,"Transportation",0.1382
2024,1008069,"Transportation",0.119
2024,1008071,"Transportation",0.1113
2024,1008072,"Transportation",0.119
2024,1008074,"Housing and transportation",0.2027
2024,1008074,"Housing",0.0569
2024,1008074,"Transportation",0.1457
2024,1008076,"Transportation",0.1207
2024,1008079,"Housing and transportation",0.2211
2024,1008079,"Housing",0.106
2024,1008079,"Transportation",0.115
2024,1008091,"Transportation",0.1498
2024,1008095,"Housing and transportation",0.1792
2024,1008095,"Housing",0.0642
2024,1008095,"Transportation",0.115
2024,1008099,"Housing and transportation",0.2133
2024,1008099,"Housing",0.0769
2024,1008099,"Transportation",0.1364
2024,1009004,"Transportation",0.1949
2024,1009007,"Transportation",0.1602
2024,1009010,"Transportation",0.1771
2024,1009012,"Transportation",0.1388
2024,1009013,"Transportation",0.1458
2024,1009016,"Transportation",0.1417
2024,1009017,"Transportation",0.1771
2024,1009018,"Transportation",0.1582
2024,1009019,"Transportation",0.1324
2024,1009021,"Transportation",0.1524
2024,1009022,"Transportation",0.1644
2024,1009023,"Housing and transportation",0.1887
2024,1009023,"Housing",0.0675
2024,1009023,"Transportation",0.1212
2024,1009029,"Housing and transportation",0.2338
2024,1009029,"Housing",0.1031
2024,1009029,"Transportation",0.1306
2024,1009031,"Transportation",0.1699
2024,1009032,"Transportation",0.1407
2024,1010002,"Housing and transportation",0.1641
2024,1010002,"Housing",0.0498
2024,1010002,"Transportation",0.1143
2024,1010005,"Transportation",0.1227
2024,1010009,"Transportation",0.1265
2024,1010011,"Transportation",0.107
2024,1010012,"Transportation",0.1388
2024,1010013,"Transportation",0.113
2024,1010022,"Housing and transportation",0.1763
2024,1010022,"Housing",0.0693
2024,1010022,"Transportation",0.107
2024,1010025,"Housing and transportation",0.2219
2024,1010025,"Housing",0.1279
2024,1010025,"Transportation",0.094
2024,1010029,"Transportation",0.0621
2024,1010032,"Housing and transportation",0.1642
2024,1010032,"Housing",0.0957
2024,1010032,"Transportation",0.0684
2024,1010034,"Housing and transportation",0.1612
2024,1010034,"Housing",0.0946
2024,1010034,"Transportation",0.0666
2024,1010801,"Transportation",0.0931
2024,1010802,"Transportation",0.1143
2024,1011010,"Transportation",0.1369
2024,1011020,"Transportation",0.1265
2024,1011030,"Housing and transportation",0.2127
2024,1011030,"Housing",0.0711
2024,1011030,"Transportation",0.1417
2024,1011035,"Housing and transportation",0.1607
2024,1011035,"Housing",0.0477
2024,1011035,"Transportation",0.113
2024,1101002,"Transportation",0.2378
2024,1101003,"Transportation",0.2161
2024,1101004,"Transportation",0.2555
2024,1101005,"Transportation",0.2086
2024,1101027,"Transportation",0.2393
2024,1101033,"Transportation",0.1801
2024,1101035,"Housing and transportation",0.2755
2024,1101035,"Housing",0.0864
2024,1101035,"Transportation",0.1891
2024,1101036,"Housing and transportation",0.4486
2024,1101036,"Housing",0.1281
2024,1101036,"Transportation",0.3205
2024,1101037,"Transportation",0.2409
2024,1101040,"Transportation",0.2004
2024,1101043,"Housing and transportation",0.2913
2024,1101043,"Housing",0.0986
2024,1101043,"Transportation",0.1927
2024,1101045,"Housing and transportation",0.3533
2024,1101045,"Housing",0.1154
2024,1101045,"Transportation",0.2378
2024,1101048,"Transportation",0.2072
2024,1101052,"Transportation",0.1822
2024,1102002,"Housing and transportation",0.2237
