"dguid","price","beds","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1102021,"median","Total",127000,250000,359950,98000,233750,515000,306000,494450,450000,650000
1102021,"median","2",NA,NA,170000,NA,NA,NA,3e+05,NA,450000,NA
1102021,"median","0",NA,NA,NA,NA,NA,385000,NA,NA,NA,NA
1102022,"median","3",175900,222500,260000,295500,320000,331472.5,439000,428750,382500,362500
1102022,"median","Total",175900,211250,255805,295500,320000,331472.5,442000,427500,382500,352500
1102022,"median","2",NA,126500,69000,NA,NA,NA,450000,320000,NA,327500
1102032,"median","2",120000,199000,195000,NA,NA,315000,NA,165000,250000,160000
1102032,"median","3",146500,210500,NA,358500,270000,NA,399000,174900,720000,419950
1102032,"median","Total",126000,199000,195000,358500,270000,315000,297000,169950,485000,254950
1102032,"median","1",NA,NA,NA,NA,NA,NA,195000,NA,NA,NA
1102034,"median","3",72000,152000,123950,204000,179900,405000,495500,NA,405000,484500
1102034,"median","Total",72000,152000,123950,204000,249450,405000,495500,NA,405000,484500
1102034,"median","2",NA,NA,NA,NA,319000,NA,NA,NA,NA,NA
1102037,"median","3",250750,219250,352500,395000,368500,449900,552000,594250,810000,435000
1102037,"median","Total",250750,196500,290000,395000,368500,294950,479000,439000,810000,417500
1102037,"median","2",NA,154000,230000,NA,NA,286000,259000,439000,NA,280000
1102037,"median","1",NA,NA,NA,NA,NA,470000,NA,NA,NA,NA
1102040,"median","3",201000,2e+05,255000,304500,220550,351250,427500,409500,359900,465500
1102040,"median","Total",201000,208000,255000,295000,220550,350000,347000,409500,359900,425250
1102040,"median","2",NA,239900,NA,170000,NA,209000,322000,NA,392950,307000
1102043,"median","3",NA,205000,249900,349000,351000,330000,NA,665000,528450,293000
1102043,"median","Total",NA,205000,258950,349000,351000,360000,NA,665000,528450,293000
1102043,"median","2",NA,NA,288500,NA,NA,390000,NA,NA,NA,NA
1102045,"median","3",243100,281000,310500,349000,315500,344250,480000,461625,438000,417500
1102045,"median","Total",243100,281000,303000,349000,284500,337500,457500,490000,438000,417500
1102045,"median","2",NA,NA,279000,NA,159000,270500,240500,5e+05,NA,NA
1102046,"median","3",192250,222250,400100,395150,345450,407000,485000,525000,547500,441450
1102046,"median","Total",192250,227950,341100,340300,345450,407000,410000,525000,5e+05,470000
1102046,"median","2",NA,434500,260000,220000,NA,NA,273000,NA,390000,525000
1102050,"median","3",93000,146000,NA,310000,276000,NA,279900,482500,622500,387000
1102050,"median","Total",93000,120000,NA,249500,276000,235000,252450,482500,622500,387000
1102050,"median","2",NA,100500,NA,189000,NA,235000,NA,NA,NA,NA
1102050,"median","1",NA,NA,NA,NA,NA,NA,225000,NA,NA,NA
1102051,"median","3",NA,230000,198000,456500,294375,412500,452500,546250,393400,522000
1102051,"median","Total",NA,230000,198000,456500,294375,412500,452500,546250,393400,522000
1102055,"median","2",195000,NA,124000,260000,NA,286000,NA,340000,NA,NA
1102055,"median","Total",195000,346000,192000,291250,445000,603500,550000,395000,1385000,460000
1102055,"median","3",NA,346000,193000,310000,445000,612000,550000,450000,1385000,460000
1102057,"median","2",168000,176000,162000,NA,NA,NA,207600,NA,235000,NA
1102057,"median","3",210000,223250,226500,289000,294000,NA,445000,530000,230000,285000
1102057,"median","Total",168500,198000,192500,289000,294000,NA,335000,530000,232500,285000
1102059,"median","2",85500,165000,NA,NA,NA,NA,NA,425000,NA,NA
1102059,"median","3",74500,199950,215000,158000,119500,224000,NA,347450,4e+05,344000
1102059,"median","Total",80000,199900,215000,158000,119500,224000,NA,349900,4e+05,344000
1102061,"median","2",160000,320000,169250,275000,224000,314000,NA,398750,325000,4e+05
1102061,"median","Total",160000,245000,192000,245000,224000,429500,575000,410000,325000,503000
1102061,"median","3",NA,237000,197500,245000,305500,449000,602500,443500,300500,606000
1102061,"median","1",NA,NA,145000,179000,NA,NA,245000,280000,NA,NA
1102064,"median","2",109930,84000,93750,198750,121500,149700,217250,334000,280000,164950
1102064,"median","3",170000,177450,237950,245000,296250,349900,461000,449000,430000,388000
1102064,"median","Total",165000,175000,226000,245000,295000,307500,4e+05,425000,417450,352000
1102064,"median","1",NA,NA,NA,NA,NA,114500,240000,NA,NA,NA
1102066,"median","3",NA,235000,230000,208500,210000,332000,391250,462500,355000,165800
1102066,"median","Total",NA,235000,258000,210000,199500,332000,391250,462500,357500,282400
1102066,"median","2",NA,NA,285450,234000,189000,NA,NA,NA,374000,399000
1102067,"median","2",155000,142000,199000,204500,239111,275000,345000,420000,346000,301500
1102067,"median","3",218000,222600,233500,311500,319450,411000,435000,493000,405000,405000
1102067,"median","Total",185000,187000,220000,269000,299700,338500,403750,484500,392500,376499
1102067,"median","1",NA,NA,120000,NA,NA,NA,NA,NA,NA,NA
1102067,"median","0",NA,NA,NA,67000,NA,325500,NA,NA,NA,NA
1102068,"median","3",180000,207250,229900,282000,290000,375000,485000,429000,409000,464500
1102068,"median","Total",180000,197000,182000,258125,272000,331500,375000,375000,394000,370500
1102068,"median","2",NA,141000,153750,174000,130000,257500,267499.5,251000,309500,320000
1102068,"median","1",NA,NA,NA,110000,2e+05,145000,190000,NA,239900,260000
1102069,"median","3",112500,143500,251000,252900,186000,195000,514000,NA,449000,NA
1102069,"median","Total",112500,146000,251000,252900,186000,195000,430000,NA,449000,NA
1102069,"median","2",NA,148500,NA,NA,NA,NA,216000,NA,457500,NA
1102070,"median","3",185000,195000,NA,397500,NA,365000,495000,428750,NA,269000
1102070,"median","Total",185000,195000,212000,265000,199900,292250,495000,402500,279000,269000
1102070,"median","2",NA,NA,212000,120000,199900,249550,NA,285000,279000,NA
1102071,"median","3",182500,163000,185000,239900,385000,320000,365000,315000,385500,427500
1102071,"median","Total",182500,155000,185000,237450,350000,299900,365000,325000,365000,417500
1102071,"median","1",NA,115000,NA,72500,NA,172500,235000,NA,NA,NA
1102071,"median","2",NA,133500,183950,224950,174900,161300,270000,336250,295000,304250
1102072,"median","3",NA,241000,215000,410000,309000,365000,594900,299000,585000,465000
1102072,"median","Total",NA,241000,215000,197000,309000,365000,594900,299000,585000,465000
1102072,"median","0",NA,NA,NA,90000,NA,NA,NA,NA,NA,NA
1102072,"median","2",NA,NA,NA,197000,NA,NA,NA,NA,NA,NA
1102073,"median","3",266000,262500,250000,280000,322500,399000,415000,385000,425000,454200
1102073,"median","Total",266000,244500,232750,269900,322500,364000,375000,385000,408000,454200
1102073,"median","2",NA,207700,135000,248000,NA,2e+05,250000,NA,363000,525500
1102075,"median","1",181500,NA,NA,NA,205000,199500,252500,242000,257000,170000
1102075,"median","2",141500,170000,180000,247000,245000,286000,315000,310000,315000,307500
1102075,"median","3",187500,227500,255500,295500,320000,366400,439500,428900,435000,432500
1102075,"median","Total",181500,222500,251610,290000,317500,355000,425000,419000,411000,425000
1102075,"median","0",NA,115000,NA,NA,NA,NA,NA,NA,NA,NA
1102080,"median","0",55000,NA,132000,NA,NA,NA,75000,NA,NA,NA
1102080,"median","1",73000,NA,NA,NA,139900,186500,273000,NA,205000,238000
1102080,"median","2",168000,174000,176000,168000,170000,244500,255000,242000,238000,350000
1102080,"median","3",207000,234000,215900,274000,344900,391000,4e+05,450000,430000,380000
1102080,"median","Total",190000,226500,208500,262000,313900,332000,340000,370500,358250,375000
1102085,"median","3",234975,240000,248000,295000,320000,331995,439000,427500,420000,455000
1102085,"median","Total",234975,194000,245000,295000,318995,330950,425000,425000,417500,406000
1102085,"median","1",NA,155000,NA,NA,NA,NA,210000,NA,NA,NA
1102085,"median","2",NA,139500,165000,NA,253126,286000,250000,331302.5,397500,305000
1102085,"median","0",NA,NA,NA,NA,NA,1e+05,NA,NA,NA,NA
1103002,"median","2",64000,93000,255000,221500,3e+05,250000,485000,NA,260000,410000
1103002,"median","3",304500,168750,252000,251950,278000,318250,529000,382000,242750,455000
1103002,"median","Total",287000,138750,252000,251950,278000,307500,507000,382000,260000,432500
1103002,"median","0",NA,NA,1e+05,NA,NA,NA,NA,NA,NA,NA
1103003,"median","2",78500,136250,260000,143000,199900,227250,410000,249000,324500,270000
1103003,"median","3",151500,185000,180000,256450,255000,328500,597500,319950,432000,381875
1103003,"median","Total",115000,176500,191350,251000,239500,292500,575000,295000,376990,378750
1103003,"median","1",NA,112000,NA,NA,NA,NA,NA,NA,NA,NA
1103004,"median","3",184900,230000,369000,355500,375000,415000,477500,475000,538000,444500
1103004,"median","Total",184900,189950,369000,342000,305500,342950,460950,380000,538000,355000
1103004,"median","2",NA,126000,202700,335000,160000,236000,217500,360000,NA,270000
1103005,"median","3",137000,253250,316500,135000,255750,206000,361250,415000,325000,250000
1103005,"median","Total",137000,170000,197750,140000,250000,240000,255000,410000,325000,3e+05
