"CSDUID","CDUID","PRUID","area_km2","cold_extrapolated","tnm20_2025","tnm20_2050","tnm15_2025","tnm15_2050","id_2025","id_2050","tnm20_2025_cd_mean","tnm20_2050_cd_mean","tnm15_2025_cd_mean","tnm15_2050_cd_mean","id_2025_cd_mean","id_2050_cd_mean","tnm20_2025_pr_mean","tnm20_2050_pr_mean","tnm15_2025_pr_mean","tnm15_2050_pr_mean","id_2025_pr_mean","id_2050_pr_mean","tnm20_2025_pctile_national","tnm20_2050_pctile_national","tnm15_2025_pctile_national","tnm15_2050_pctile_national","id_2025_pctile_national","id_2050_pctile_national"
"4710035","4710","47",0.713088495986503,FALSE,15,13,72,68,117,111,13.776302024013,12.5166516003863,68.1115005962816,64.8698415115686,112.643199471967,109.341054852364,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,86.6,87.4,85.5,87.6,90.1,89.7
"4710036","4710","47",1403.80660472319,FALSE,15,13,69.0526315789474,65.6315789473684,115.5,110.263157894737,13.776302024013,12.5166516003863,68.1115005962816,64.8698415115686,112.643199471967,109.341054852364,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,86.6,87.4,82.7,84.7,89.2,89.2
"4710038","4710","47",6.04831152355567,FALSE,15,13,69,65,115,109,13.776302024013,12.5166516003863,68.1115005962816,64.8698415115686,112.643199471967,109.341054852364,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,86.6,87.4,82.5,84,88.8,88
"4814024","4814","48",29.7035435066726,FALSE,8.33333333333333,8,54.8333333333333,45.8333333333333,73.5,59.6666666666667,9.7302199455269,7.75852784623124,55.4635169924963,46.3060165543836,80.909166925804,66.3513986082134,13.8274823932797,10.8078198262754,71.501299578259,61.520710467022,102.477574571663,90.9003207177826,58.8,64.8,62.8,60.8,42.5,33.1
"4707063","4707","47",1446.56492016972,FALSE,10.15,8.85,52.725,50.075,84.3,77.75,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,67.4,67.3,60.4,64.4,56.1,55.6
"4716862","4716","47",68.4843287719099,FALSE,16,11.875,73,67.75,109.5,102,15.9151332894675,12.0995422916472,74.0344775262972,66.9460699194331,111.229323328781,106.214809084769,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,89.7,80.5,86.5,87.1,83.7,80.7
"4716863","4716","47",36.0345385545991,FALSE,16.25,11.5,76.25,69.5,110.5,104.75,15.9151332894675,12.0995422916472,74.0344775262972,66.9460699194331,111.229323328781,106.214809084769,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,91.2,79.9,89.6,89.3,84.8,83.6
"4716864","4716","47",2.66637451508829,FALSE,16,13,77,70,111,106,15.9151332894675,12.0995422916472,74.0344775262972,66.9460699194331,111.229323328781,106.214809084769,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,89.7,87.4,90.3,89.6,85.5,85.4
"4716865","4716","47",1.9608944233671,FALSE,15,12,72.5,63,110,106,15.9151332894675,12.0995422916472,74.0344775262972,66.9460699194331,111.229323328781,106.214809084769,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,86.6,82.2,86,81.5,84.1,85.4
"4716870","4716","47",31.557115121657,FALSE,15.5,12,71.5,63.8333333333333,113.166666666667,107.666666666667,15.9151332894675,12.0995422916472,74.0344775262972,66.9460699194331,111.229323328781,106.214809084769,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,88,82.2,85,82.5,87.6,87
