"CSDUID","CDUID","PRUID","fwi","dc","fwi_cd_mean","fwi_pr_mean","dc_cd_mean","dc_pr_mean","fwi_ratio_cd","fwi_ratio_pr","fwi_ratio_national","fwi_diff_cd","fwi_diff_pr","fwi_diff_national","fwi_pctile_national","dc_ratio_cd","dc_ratio_pr","dc_ratio_national","dc_diff_cd","dc_diff_pr","dc_diff_national","dc_pctile_national"
"1005010","1005","10",5.24286690757081,190.327520731333,3.81893740837083,2.78939384473745,174.283438281691,159.752544477437,1.373,1.88,0.851,1.42,2.45,-0.91,23,1.092,1.191,0.595,16.04,30.57,-129.73,15.2
"1001289","1001","10",2.60640553065709,161.111519949777,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.833,0.934,0.423,-0.52,-0.18,-3.55,2.7,0.979,1.009,0.503,-3.38,1.36,-158.94,4.2
"1001149","1001","10",3.40946233272552,167.793548583984,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.089,1.222,0.554,0.28,0.62,-2.75,6.4,1.02,1.05,0.524,3.3,8.04,-152.26,6.5
"1003038","1003","10",1.22191234355087,116.883261801033,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,0.693,0.438,0.198,-0.54,-1.57,-4.94,0.1,0.855,0.732,0.365,-19.75,-42.87,-203.17,0.1
"1001155","1001","10",2.5448758135065,157.613878573591,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.813,0.912,0.413,-0.59,-0.24,-3.61,2.3,0.958,0.987,0.492,-6.88,-2.14,-162.44,3.5
"1001169","1001","10",2.32361632271817,146.840067010177,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.742,0.833,0.377,-0.81,-0.47,-3.83,1.8,0.893,0.919,0.459,-17.66,-12.91,-173.21,1.7
"1001181","1001","10",2.46295955635252,153.954736618769,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.787,0.883,0.4,-0.67,-0.33,-3.69,2.2,0.936,0.964,0.481,-10.54,-5.8,-166.1,2.8
"1001136","1001","10",3.08470973968506,157.331398010254,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.985,1.106,0.501,-0.05,0.3,-3.07,5.1,0.956,0.985,0.492,-7.16,-2.42,-162.72,3.4
"1001174","1001","10",2.92864518165588,152.999786376953,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.936,1.05,0.476,-0.2,0.14,-3.23,4.1,0.93,0.958,0.478,-11.5,-6.75,-167.05,2.7
"1003014","1003","10",2.00375456700112,146.622824073948,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,1.136,0.718,0.325,0.24,-0.79,-4.15,1,1.073,0.918,0.458,9.99,-13.13,-173.43,1.7
"1004011","1004","10",2.61730614228559,144.349447082865,2.35198340836106,2.78939384473745,142.525832386543,159.752544477437,1.113,0.938,0.425,0.27,-0.17,-3.54,2.8,1.013,0.904,0.451,1.82,-15.4,-175.7,1.4
