"year","geo","dguid","age","type","value"
2021,"Canada","1","50 to 54","shelters",830
2021,"Canada","1","50 to 54","service collective",4975
2021,"Canada","1","50 to 54","lodging and rooming houses",1615
2021,"Canada","1","50 to 54","hotels, motels, and temporary accommodation",1920
2021,"Canada","1","50 to 54","other service collective",1440
2021,"Canada","1","50 to 54","religious establishments",255
2021,"Canada","1","50 to 54","hutterite colonies",1850
2021,"Canada","1","50 to 54","other",705
2021,"Canada","1","55 to 59","total",26470
2021,"Canada","1","55 to 59","health care and related",14150
2021,"Canada","1","55 to 59","hospitals",525
2021,"Canada","1","55 to 59","nursing homes",3280
2021,"Canada","1","55 to 59","senior residences",2200
2021,"Canada","1","55 to 59","mix of nursing home and senior residences",740
2021,"Canada","1","55 to 59","residential care facilities",7410
2021,"Canada","1","55 to 59","correctional facilities",1585
2021,"Canada","1","55 to 59","shelters",890
2021,"Canada","1","55 to 59","service collective",7025
2021,"Canada","1","55 to 59","lodging and rooming houses",2310
2021,"Canada","1","55 to 59","hotels, motels, and temporary accommodation",2720
2021,"Canada","1","55 to 59","other service collective",1995
2021,"Canada","1","55 to 59","religious establishments",355
2021,"Canada","1","55 to 59","hutterite colonies",1625
2021,"Canada","1","55 to 59","other",845
2021,"Canada","1","60 to 64","total",29690
2021,"Canada","1","60 to 64","health care and related",18405
2021,"Canada","1","60 to 64","hospitals",540
2021,"Canada","1","60 to 64","nursing homes",5530
2021,"Canada","1","60 to 64","senior residences",3715
2021,"Canada","1","60 to 64","mix of nursing home and senior residences",1540
2021,"Canada","1","60 to 64","residential care facilities",7080
2021,"Canada","1","60 to 64","correctional facilities",925
2021,"Canada","1","60 to 64","shelters",855
2021,"Canada","1","60 to 64","service collective",6915
2021,"Canada","1","60 to 64","lodging and rooming houses",2115
2021,"Canada","1","60 to 64","hotels, motels, and temporary accommodation",2780
2021,"Canada","1","60 to 64","other service collective",2020
2021,"Canada","1","60 to 64","religious establishments",395
2021,"Canada","1","60 to 64","hutterite colonies",1400
2021,"Canada","1","60 to 64","other",790
2021,"Canada","1","65+","total",434510
2021,"Canada","1","65+","health care and related",408495
2021,"Canada","1","65+","hospitals",7575
2021,"Canada","1","65+","nursing homes",172235
2021,"Canada","1","65+","senior residences",151155
2021,"Canada","1","65+","mix of nursing home and senior residences",64515
2021,"Canada","1","65+","residential care facilities",13010
2021,"Canada","1","65+","correctional facilities",1070
2021,"Canada","1","65+","shelters",815
2021,"Canada","1","65+","service collective",13595
2021,"Canada","1","65+","lodging and rooming houses",3410
2021,"Canada","1","65+","hotels, motels, and temporary accommodation",5660
2021,"Canada","1","65+","other service collective",4525
2021,"Canada","1","65+","religious establishments",5645
2021,"Canada","1","65+","hutterite colonies",3345
2021,"Canada","1","65+","other",1550
2021,"Canada","1","65 to 69","total",29610
2021,"Canada","1","65 to 69","health care and related",21035
2021,"Canada","1","65 to 69","hospitals",620
2021,"Canada","1","65 to 69","nursing homes",8070
2021,"Canada","1","65 to 69","senior residences",5500
2021,"Canada","1","65 to 69","mix of nursing home and senior residences",1760
2021,"Canada","1","65 to 69","residential care facilities",5090
2021,"Canada","1","65 to 69","correctional facilities",495
2021,"Canada","1","65 to 69","shelters",435
2021,"Canada","1","65 to 69","service collective",5500
2021,"Canada","1","65 to 69","lodging and rooming houses",1440
2021,"Canada","1","65 to 69","hotels, motels, and temporary accommodation",2305
2021,"Canada","1","65 to 69","other service collective",1750
2021,"Canada","1","65 to 69","religious establishments",350
2021,"Canada","1","65 to 69","hutterite colonies",1140
2021,"Canada","1","65 to 69","other",660
2021,"Canada","1","70 to 74","total",36905
2021,"Canada","1","70 to 74","health care and related",31180
2021,"Canada","1","70 to 74","hospitals",750
2021,"Canada","1","70 to 74","nursing homes",13010
2021,"Canada","1","70 to 74","senior residences",10215
2021,"Canada","1","70 to 74","mix of nursing home and senior residences",4075
2021,"Canada","1","70 to 74","residential care facilities",3120
2021,"Canada","1","70 to 74","correctional facilities",265
2021,"Canada","1","70 to 74","shelters",195
2021,"Canada","1","70 to 74","service collective",3515
2021,"Canada","1","70 to 74","lodging and rooming houses",740
2021,"Canada","1","70 to 74","hotels, motels, and temporary accommodation",1525
2021,"Canada","1","70 to 74","other service collective",1250
2021,"Canada","1","70 to 74","religious establishments",535
2021,"Canada","1","70 to 74","hutterite colonies",810
2021,"Canada","1","70 to 74","other",410
2021,"Canada","1","75 to 79","total",48400
2021,"Canada","1","75 to 79","health care and related",44415
2021,"Canada","1","75 to 79","hospitals",835
2021,"Canada","1","75 to 79","nursing homes",18435
2021,"Canada","1","75 to 79","senior residences",16725
2021,"Canada","1","75 to 79","mix of nursing home and senior residences",6685
2021,"Canada","1","75 to 79","residential care facilities",1735
2021,"Canada","1","75 to 79","correctional facilities",125
2021,"Canada","1","75 to 79","shelters",105
2021,"Canada","1","75 to 79","service collective",1920
2021,"Canada","1","75 to 79","lodging and rooming houses",460
2021,"Canada","1","75 to 79","hotels, motels, and temporary accommodation",800
2021,"Canada","1","75 to 79","other service collective",660
2021,"Canada","1","75 to 79","religious establishments",930
2021,"Canada","1","75 to 79","hutterite colonies",675
2021,"Canada","1","75 to 79","other",235
2021,"Canada","1","80 to 84","total",81735
2021,"Canada","1","80 to 84","health care and related",78675
2021,"Canada","1","80 to 84","hospitals",1595
2021,"Canada","1","80 to 84","nursing homes",32590
2021,"Canada","1","80 to 84","senior residences",29735
2021,"Canada","1","80 to 84","mix of nursing home and senior residences",13585
2021,"Canada","1","80 to 84","residential care facilities",1170
2021,"Canada","1","80 to 84","correctional facilities",140
2021,"Canada","1","80 to 84","shelters",60
