"CSDUID","CDUID","PRUID","area_km2","temp_historical","temp_2025","temp_2050","temp_change_hist_2025","temp_change_hist_2050","temp_change_2025_2050","temp_extrapolated","temp_historical_cd_mean","temp_2025_cd_mean","temp_2050_cd_mean","temp_change_hist_2025_cd_mean","temp_change_hist_2050_cd_mean","temp_change_2025_2050_cd_mean","temp_historical_pr_mean","temp_2025_pr_mean","temp_2050_pr_mean","temp_change_hist_2025_pr_mean","temp_change_hist_2050_pr_mean","temp_change_2025_2050_pr_mean","temp_historical_pctile_national","temp_2025_pctile_national","temp_2050_pctile_national","temp_change_hist_2025_pctile_national","temp_change_hist_2050_pctile_national","temp_change_2025_2050_pctile_national","temp_historical_diff_cd","temp_2025_diff_cd","temp_2050_diff_cd","temp_change_hist_2025_diff_cd","temp_change_hist_2050_diff_cd","temp_change_2025_2050_diff_cd","temp_historical_diff_pr","temp_2025_diff_pr","temp_2050_diff_pr","temp_change_hist_2025_diff_pr","temp_change_hist_2050_diff_pr","temp_change_2025_2050_diff_pr","temp_historical_diff_national","temp_2025_diff_national","temp_2050_diff_national","temp_change_hist_2025_diff_national","temp_change_hist_2050_diff_national","temp_change_2025_2050_diff_national"
"4812804","4812","48",107.228421799704,21.7988624572754,23.708984375,25.1280403137207,1.91,3.33,1.42,FALSE,21.1024955954678,22.9503591263022,24.5324340413386,1.8472948330783,3.43013185708464,1.58170972452277,20.7556604934888,22.8654964245074,24.197814684968,2.11017549720669,3.44250087577475,1.33276000837367,37.5,37.2,42.3,39,67.4,72.5,0.7,0.76,0.6,0.06,-0.1,-0.16,1.04,0.84,0.93,-0.2,-0.11,0.09,8.38,8.59,9.11,0.2,0.73,0.53
"5924833","5924","59",0.12318936044938,17.326904296875,18.68603515625,19.7180480957031,1.36,2.39,1.03,FALSE,17.4887591376098,19.330781204333,20.2610901330899,1.84144620151128,2.77299635480975,0.926944618845801,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,5.9,4.3,4.9,0.6,1.6,32.7,-0.16,-0.64,-0.54,-0.48,-0.38,0.1,0.03,-0.45,-0.53,-0.48,-0.56,-0.08,3.91,3.56,3.7,-0.35,-0.21,0.14
"5924835","5924","59",1.38761369664851,19.9210510253906,21.5907287597656,22.516357421875,1.67,2.6,0.93,FALSE,17.4887591376098,19.330781204333,20.2610901330899,1.84144620151128,2.77299635480975,0.926944618845801,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,17.3,15.3,15.2,5.4,4.3,23.4,2.43,2.26,2.26,-0.17,-0.17,0,2.63,2.45,2.27,-0.17,-0.35,-0.18,6.5,6.47,6.5,-0.04,0,0.04
"5924836","5924","59",0.230307469506869,17.4805603027344,18.8876342773438,19.8802490234375,1.41,2.4,0.99,FALSE,17.4887591376098,19.330781204333,20.2610901330899,1.84144620151128,2.77299635480975,0.926944618845801,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,6.5,4.9,5.4,1.1,1.7,28.9,-0.01,-0.44,-0.38,-0.43,-0.37,0.06,0.19,-0.25,-0.37,-0.43,-0.55,-0.12,4.06,3.76,3.87,-0.3,-0.2,0.1
"5924840","5924","59",0.77421450430049,21.5644836425781,23.5480651855469,24.3814697265625,1.98,2.82,0.83,FALSE,17.4887591376098,19.330781204333,20.2610901330899,1.84144620151128,2.77299635480975,0.926944618845801,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,32.9,33,28.2,48.5,18.5,17.4,4.08,4.22,4.12,0.14,0.05,-0.1,4.27,4.41,4.14,0.14,-0.13,-0.28,8.15,8.42,8.37,0.27,0.22,-0.06
"5924843","5924","59",2.3928766072318,21.7021789550781,23.6861877441406,24.501953125,1.98,2.8,0.82,FALSE,17.4887591376098,19.330781204333,20.2610901330899,1.84144620151128,2.77299635480975,0.926944618845801,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,35.7,36.5,29.6,48.5,17.4,16.8,4.21,4.36,4.24,0.14,0.03,-0.11,4.41,4.55,4.26,0.14,-0.15,-0.29,8.29,8.56,8.49,0.27,0.2,-0.07
"5909805","5909","59",2.01228015657551,22.1944274902344,24.3180236816406,25.8441009521484,2.12,3.65,1.53,FALSE,18.6550468780606,20.8398118502899,22.2974672723255,2.18414610395657,3.64507580765344,1.45695949330121,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,45.6,48.5,52.5,67.6,79.2,79.6,3.54,3.48,3.55,-0.06,0,0.07,4.9,5.18,5.6,0.28,0.7,0.42,8.78,9.19,9.83,0.41,1.05,0.64
"5909806","5909","59",1.47844329531906,22.9385375976562,25.0867919921875,26.6050720214844,2.15,3.67,1.52,FALSE,18.6550468780606,20.8398118502899,22.2974672723255,2.18414610395657,3.64507580765344,1.45695949330121,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,58.2,61.4,65.1,70.8,80.2,78.4,4.28,4.25,4.31,-0.03,0.02,0.06,5.65,5.95,6.36,0.31,0.72,0.41,9.52,9.96,10.59,0.44,1.07,0.63
"5909807","5909","59",1.88978619264239,20.9602203369141,23.1247100830078,24.6643371582031,2.16,3.7,1.54,FALSE,18.6550468780606,20.8398118502899,22.2974672723255,2.18414610395657,3.64507580765344,1.45695949330121,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,24.6,26.5,32.4,71.8,81.8,80.6,2.31,2.28,2.37,-0.02,0.05,0.08,3.67,3.99,4.42,0.32,0.75,0.43,7.54,8,8.65,0.45,1.1,0.65
"5909808","5909","59",2.3632720955613,21.5618286132812,23.7165222167969,25.2914428710938,2.15,3.73,1.57,FALSE,18.6550468780606,20.8398118502899,22.2974672723255,2.18414610395657,3.64507580765344,1.45695949330121,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,32.8,37.4,45.4,70.8,83,82.9,2.91,2.88,2.99,-0.03,0.08,0.11,4.27,4.58,5.05,0.31,0.78,0.46,8.14,8.59,9.28,0.44,1.13,0.68
