"CSDUID","CDUID","PRUID","area_km2","tx30_2025","tx30_2050","tx30_change","tx30_extrapolated","tx30_2025_cd_mean","tx30_2050_cd_mean","tx30_change_cd_mean","tx30_2025_pr_mean","tx30_2050_pr_mean","tx30_change_pr_mean","tx30_2025_pctile_national","tx30_2050_pctile_national","tx30_change_pctile_national","tx30_2025_diff_cd","tx30_2050_diff_cd","tx30_change_diff_cd","tx30_2025_diff_pr","tx30_2050_diff_pr","tx30_change_diff_pr","tx30_2025_diff_national","tx30_2050_diff_national","tx30_change_diff_national"
"4709023","4709","47",862.516453112413,11.5,25.8333333333333,14.3,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,57.4,70.6,97.1,0,1.7,1.6,-2.1,6.3,8.3,9.1,22,13
"4709024","4709","47",1.90350273714597,11,25,14,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,55.5,69.4,95.9,-0.5,0.8,1.3,-2.6,5.4,8,8.6,21.2,12.7
"4709028","4709","47",1.67150940721578,12.5,27.75,15.2,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,61,73.3,99,1,3.6,2.5,-1.1,8.2,9.2,10.1,24,13.9
"4706812","4706","47",89.5906650276515,23.3333333333333,37,13.7,FALSE,27.3775283503333,38.5279807234403,11.1596215336991,13.579379603014,19.5797131677624,5.99856635388725,87,89.1,94.6,-4,-1.5,2.5,9.8,17.4,7.7,20.9,33.2,12.4
"4713039","4713","47",1.30726725544979,24,31,7,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,87.6,79.1,55,0.5,0.1,-0.4,10.4,11.4,1,21.6,27.2,5.7
"4713049","4713","47",831.630454270553,23.0740740740741,28.3703703703704,5.3,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,86.8,74.4,42.2,-0.5,-2.6,-2.1,9.5,8.8,-0.7,20.6,24.6,4
"4713051","4713","47",2.97737708349408,23,28.5,5.5,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,86.6,74.5,43.5,-0.5,-2.4,-1.9,9.4,8.9,-0.5,20.6,24.7,4.2
"4713053","4713","47",1.34889733523205,21.5,28,6.5,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,84.8,73.8,51.5,-2,-2.9,-0.9,7.9,8.4,0.5,19.1,24.2,5.2
"4713054","4713","47",0.627768133480643,24,27,3,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,87.6,72.6,25.1,0.5,-3.9,-4.4,10.4,7.4,-3,21.6,23.2,1.7
"4713056","4713","47",852.258702619365,23.96,28.56,4.6,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,87.3,74.6,36.2,0.4,-2.4,-2.8,10.4,9,-1.4,21.5,24.8,3.3
