"csd","pr","score_cisv","q_cisv_can","q_score_pr"
1001464,"10",0.32058,4,2
1001469,"10",-0.148601436619718,2,1
1001472,"10",-0.112167409955484,2,1
1001485,"10",-0.238163315297409,2,1
1001490,"10",1.29423,5,5
1001494,"10",1.10838519008264,5,5
1001504,"10",-0.38547115983363,1,1
1001505,"10",-0.144899015996122,2,1
1001507,"10",-0.509547003484321,1,1
1001509,"10",-0.366716723127866,1,1
1001511,"10",-0.609052567681895,1,1
1001512,"10",-0.2887,2,1
1001517,"10",-0.45791876159777,1,1
1001519,"10",0.0968591934856367,3,1
1001542,"10",-0.090035319660097,2,1
1001551,"10",-0.168246863780359,2,1
1001557,"10",-0.241850689655172,2,1
1001559,"10",-0.339534414634146,1,1
1001565,"10",-0.42786,1,1
1002001,"10",0.25159,4,2
1002002,"10",-0.16428,2,1
1002005,"10",0.200505981224855,4,2
1002006,"10",-0.49357,1,1
1002008,"10",0.270269605381166,4,2
1002011,"10",0.33159910806175,4,2
1002012,"10",0.15451,3,2
1002013,"10",0.7922,5,4
1002014,"10",1.41859,5,5
1002015,"10",1.34707,5,5
1002016,"10",0.25993,4,2
1002017,"10",0.38596,4,3
1002018,"10",0.541007906614786,4,3
1002019,"10",0.439841714684015,4,3
1002021,"10",0.22263,4,2
1002022,"10",-0.0434,3,1
1002023,"10",-0.19469,2,1
1002024,"10",0.403759953881629,4,3
1002025,"10",-0.11983,2,1
1002026,"10",0.89676,5,5
1002027,"10",1.07639,5,5
1002030,"10",0.81665,5,4
1002031,"10",0.4865,4,3
1002033,"10",1.02898,5,5
1002034,"10",0.94904,5,5
1002036,"10",0.50502,4,3
1002037,"10",0.39246,4,3
1002039,"10",0.4699,4,3
1002040,"10",-0.04626,3,1
1002041,"10",0.81345,5,4
1002048,"10",0.30887,4,2
1002055,"10",1.22793,5,5
1003002,"10",1.26754,5,5
1003003,"10",0.68001,5,4
1003004,"10",1.4462,5,5
1003005,"10",1.13566,5,5
1003008,"10",0.334109174001354,4,2
1003009,"10",1.07929,5,5
1003010,"10",0.19061,4,2
1003011,"10",0.24136,4,2
1003012,"10",0.70165,5,4
1003014,"10",0.3651,4,3
1003018,"10",0.491713153961136,4,3
1003019,"10",0.487192018502944,4,3
1003020,"10",-0.29129,2,1
1003021,"10",0.11585,3,1
1003024,"10",0.36839,4,3
1003026,"10",1.13392,5,5
1003028,"10",0.644155620748299,5,4
1003031,"10",0.13486,3,1
1003032,"10",0.669016529516995,5,4
1003033,"10",0.015988,3,1
1003034,"10",0.190752506343389,4,2
1003038,"10",0.40632,4,3
1003045,"10",0.52098,4,3
1003801,"10",0.621124711437566,5,4
1004001,"10",0.408640895424837,4,3
1004006,"10",0.981713929824562,5,5
1004011,"10",0.938244111675127,5,5
1004013,"10",0.864734784899034,5,5
1004016,"10",0.958825396039604,5,5
1004017,"10",0.69224,5,4
1004018,"10",1.11977909424725,5,5
1004019,"10",0.94200524617737,5,5
1004020,"10",0.044638897937025,3,1
1004021,"10",0.96355,5,5
1004022,"10",1.23828867757328,5,5
1004033,"10",1.22171,5,5
1004037,"10",1.16736,5,5
1004042,"10",0.68223,5,4
1005001,"10",0.50125,4,3
1005003,"10",0.63546,5,4
1005004,"10",0.323598525904605,4,2
1005005,"10",0.5961,5,4
1005006,"10",0.73369,5,4
1005007,"10",1.06064,5,5
1005008,"10",0.63599,5,4
1005009,"10",0.40775,4,3
1005010,"10",-0.13477,2,1
1005011,"10",-0.07226,3,1
1005012,"10",-0.0200644211123723,3,1
1005014,"10",0.3266,4,2
1005015,"10",-0.04498,3,1
1005016,"10",-0.25852,2,1
1005017,"10",-0.40891,1,1
1005018,"10",0.2890584348006,4,2
1005020,"10",0.556714124918673,5,3
1005022,"10",0.53021,4,3
1005023,"10",0.79238,5,4
1005024,"10",0.76978,5,4
1005025,"10",0.42049,4,3
1005028,"10",0.13193,3,1
1005030,"10",0.249620253968254,4,2
1005033,"10",0.16165,4,2
1005035,"10",0.3957,4,3
1006001,"10",0.27561,4,2
1006003,"10",0.778580677966102,5,4
1006008,"10",1.22859,5,5
1006009,"10",0.0439503324915825,3,1
1006011,"10",0.12436,3,1
1006012,"10",0.422089120433018,4,3
1006014,"10",0.19405,4,2
1006015,"10",0.03493,3,1
1006017,"10",0.316014098751173,4,2
1006019,"10",0.395661881894873,4,3
1006021,"10",1.11781161825726,5,5
1006022,"10",0.732400928725702,5,4
1006026,"10",0.131430850439883,3,1
1006028,"10",-0.28754,2,1
1006031,"10",0.697562813559322,5,4
1007001,"10",0.388049148706897,4,3
1007006,"10",0.436413000845308,4,3
1007009,"10",0.35891618466899,4,2
1007013,"10",0.0610497777446301,3,1
1007014,"10",0.91683,5,5
1007015,"10",0.13622,3,1
1007016,"10",0.15194,3,2
1007018,"10",1.03839,5,5
1007020,"10",0.35855,4,2
1007022,"10",0.532479502728927,4,3
1007023,"10",0.555980746081505,5,3
1007024,"10",0.64624,5,4
1007027,"10",0.94434,5,5
1007028,"10",0.627550794223827,5,4
1007031,"10",0.460756377769141,4,3
1007032,"10",0.56167,5,3
1007036,"10",0.4652,4,3
1007037,"10",0.36447,4,2
1007038,"10",0.81945,5,4
1007039,"10",0.1108,3,1
1007040,"10",0.09044,3,1
1007041,"10",0.77769,5,4
1007042,"10",1.05941,5,5
1007043,"10",0.22068,4,2
1007044,"10",0.417604332648871,4,3
1007045,"10",-0.22045,2,1
1007046,"10",0.93968,5,5
1007047,"10",0.59942688876652,5,4
1007048,"10",0.70473,5,4
1007049,"10",1.04965227027027,5,5
1007050,"10",0.854263431899642,5,5
1007054,"10",0.46698,4,3
1007056,"10",0.64895,5,4
1007057,"10",0.74402,5,4
1007060,"10",0.138448860078278,3,2
1007067,"10",0.87819,5,5
1008001,"10",0.11928,3,1
1008004,"10",0.08538,3,1
1008006,"10",0.851680274841438,5,5
1008008,"10",0.782285043290043,5,4
1008011,"10",0.793287232142857,5,4
1008024,"10",0.39803,4,3
1008026,"10",0.42349,4,3
1008029,"10",0.5442,4,3
1008031,"10",1.00341890939597,5,5
1008032,"10",1.06774,5,5
1008033,"10",0.719511826086957,5,4
1008035,"10",0.659291004243281,5,4
1008036,"10",0.93909,5,5
1008037,"10",0.45364,4,3
1008038,"10",0.58893,5,4
1008039,"10",0.41218,4,3
1008040,"10",0.26146,4,2
1008042,"10",0.603359769319493,5,4
1008043,"10",0.46279,4,3
1008044,"10",0.363045407542579,4,2
1008045,"10",0.81866,5,4
1008046,"10",1.09274,5,5
1008047,"10",0.12741,3,1
1008048,"10",0.23213,4,2
1008049,"10",0.82507,5,5
1008053,"10",1.26012,5,5
1008054,"10",0.234828013392857,4,2
1008055,"10",0.17054,4,2
1008056,"10",0.79907,5,4
1008058,"10",0.60972,5,4
1008059,"10",0.85867,5,5
1008060,"10",0.796873393351801,5,4
1008061,"10",0.439657804384486,4,3
1008063,"10",0.68514,5,4
1008065,"10",0.97641,5,5
1008066,"10",-0.0403,3,1
1008067,"10",0.30545,4,2
1008069,"10",0.3346,4,2
1008071,"10",0.50519,4,3
1008072,"10",0.58031,5,4
1008074,"10",1.01846,5,5
1008075,"10",0.77851,5,4
1008076,"10",0.34465843902439,4,2
1008077,"10",2.00503,5,5
1008078,"10",1.38793,5,5
1008079,"10",0.138098977879481,3,2
1008091,"10",0.76839,5,4
1008092,"10",-0.01533,3,1
1008093,"10",0.77683,5,4
1008095,"10",0.563,5,3
1008096,"10",1.23501,5,5
1008098,"10",1.11259,5,5
1008099,"10",0.329277524799244,4,2
1009001,"10",1.38246,5,5
1009004,"10",1.08945,5,5
1009007,"10",0.650750010775862,5,4
1009008,"10",0.52641,4,3
1009010,"10",0.95453,5,5
1009011,"10",0.54838,4,3
1009012,"10",0.26923,4,2
1009013,"10",0.530482721451441,4,3
1009015,"10",0.1198,3,1
1009016,"10",0.3345,4,2
1009017,"10",1.04473,5,5
1009018,"10",0.3168,4,2
1009019,"10",0.23014814159292,4,2
1009020,"10",0.92572,5,5
1009021,"10",0.564186252252252,5,3
1009022,"10",0.725758140161725,5,4
1009023,"10",0.56864,5,4
1009024,"10",0.74766,5,4
1009026,"10",0.30129,4,2
1009028,"10",1.04062,5,5
1009029,"10",0.0979448440366973,3,1
