"CSDUID","CDUID","PRUID","area_km2","hx_extrapolated","hx30_2025","hx30_2050","hx35_2025","hx35_2050","hx40_2025","hx40_2050","hx30_2025_cd_mean","hx30_2050_cd_mean","hx35_2025_cd_mean","hx35_2050_cd_mean","hx40_2025_cd_mean","hx40_2050_cd_mean","hx30_2025_pr_mean","hx30_2050_pr_mean","hx35_2025_pr_mean","hx35_2050_pr_mean","hx40_2025_pr_mean","hx40_2050_pr_mean","hx30_2025_pctile_national","hx30_2050_pctile_national","hx35_2025_pctile_national","hx35_2050_pctile_national","hx40_2025_pctile_national","hx40_2050_pctile_national"
"4816861","4816","48",3.88253712712755,FALSE,14.5,16,1,0,0,0,13.502222437972,16.3168693562992,0.652677781367788,1.42499827014808,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,29.2,23.7,34.8,9.6,40.8,27.7
"4601071","4601","46",1623.37558554681,FALSE,40.8292682926829,59.4634146341463,14.3414634146341,21.0243902439024,1,3.39024390243902,42.134294911022,62.5613941056292,16.2707077555259,24.6244296908262,1.19566861212106,3.9514875768957,20.3717676657492,28.5551284855614,5.21422872953483,8.81217732493773,0.511321334204384,1.0043039674114,79.9,84.7,88.5,83.7,91.9,87.1
"4601075","4601","46",5.48132835194149,FALSE,43,60,14,22,2,4,42.134294911022,62.5613941056292,16.2707077555259,24.6244296908262,1.19566861212106,3.9514875768957,20.3717676657492,28.5551284855614,5.21422872953483,8.81217732493773,0.511321334204384,1.0043039674114,82.6,85,88.2,84.9,96.2,89.7
"4601078","4601","46",20.9884690216478,FALSE,38.75,57.75,12.75,20.25,1.5,4,42.134294911022,62.5613941056292,16.2707077555259,24.6244296908262,1.19566861212106,3.9514875768957,20.3717676657492,28.5551284855614,5.21422872953483,8.81217732493773,0.511321334204384,1.0043039674114,76.9,83.3,86.3,82.5,95.1,89.7
"4601079","4601","46",21.5624966117379,FALSE,37,57,13,19,1,3,42.134294911022,62.5613941056292,16.2707077555259,24.6244296908262,1.19566861212106,3.9514875768957,20.3717676657492,28.5551284855614,5.21422872953483,8.81217732493773,0.511321334204384,1.0043039674114,74.2,82.5,86.8,80,91.9,85.1
"4601094","4601","46",4785.60064682587,FALSE,39.4133333333333,59.48,14.24,21.0133333333333,0.666666666666667,2.76,42.134294911022,62.5613941056292,16.2707077555259,24.6244296908262,1.19566861212106,3.9514875768957,20.3717676657492,28.5551284855614,5.21422872953483,8.81217732493773,0.511321334204384,1.0043039674114,78,84.7,88.4,83.6,87.8,83.7
"4602024","4602","46",972.758066047666,FALSE,54.5652173913044,74.7826086956522,23.304347826087,40.8695652173913,4.65217391304348,8.73913043478261,50.9290888420607,71.9735676691041,21.4329257963096,36.0337110827413,3.64400443327431,7.96823948285775,20.3717676657492,28.5551284855614,5.21422872953483,8.81217732493773,0.511321334204384,1.0043039674114,92.5,96.3,98.4,98.7,99.4,99.4
"3560050","3560","35",368.075402302256,FALSE,12.75,20,1.75,4.25,0,0,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,26.4,27.8,41,38.7,40.8,27.7
"3560051","3560","35",1.75201226113282,FALSE,16,25,3,7,0,0,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,32.2,33.6,49.6,49.2,40.8,27.7
"3560052","3560","35",81.5281406830323,FALSE,23.5,34.8333333333333,3.5,8.83333333333333,0,0,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,48.5,47.6,52.7,55.2,40.8,27.7
