"dguid","char","period","total","o","om","onm","r","rs","rns"
1002,"0.6% to 1.25%","Total",3840,3140,345,2795,695,225,470
1002,"0.6% to 1.25%","Before 2016",3790,3100,340,2760,685,220,470
1002,"0.6% to 1.25%","2016 to 2021",50,40,0,40,0,0,0
1002,"1.26% to 2%","Total",1610,1130,1030,100,480,65,410
1002,"1.26% to 2%","Before 2016",1530,1100,1010,95,425,60,365
1002,"1.26% to 2%","2016 to 2021",85,30,25,0,50,0,45
1002,"2.1% to 3%","Total",700,655,635,25,45,0,30
1002,"2.1% to 3%","Before 2016",665,625,605,25,40,0,30
1002,"2.1% to 3%","2016 to 2021",40,35,35,0,0,0,0
1002,"3.1% or over","Total",280,275,270,0,0,0,0
1002,"3.1% or over","Before 2016",255,250,250,0,0,0,0
1002,"3.1% or over","2016 to 2021",25,25,25,0,0,0,0
1003,"Total","Total",5980,5265,1300,3970,715,95,615
1003,"Total","Before 2016",5880,5195,1265,3930,685,90,595
1003,"Total","2016 to 2021",105,75,35,35,30,0,25
1003,"1+ person with limitation","Total",480,400,210,185,85,15,65
1003,"1+ person with limitation","Before 2016",480,400,210,185,85,15,65
1003,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1003,"Veteran in household","Total",180,170,35,140,0,0,0
1003,"Veteran in household","Before 2016",175,165,35,130,0,0,0
1003,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1003,"0.5% or under","Total",1985,1880,0,1880,105,25,80
1003,"0.5% or under","Before 2016",1970,1870,0,1870,100,25,70
1003,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1003,"0.6% to 1.25%","Total",2540,2175,220,1955,365,45,320
1003,"0.6% to 1.25%","Before 2016",2495,2145,220,1930,345,45,305
1003,"0.6% to 1.25%","2016 to 2021",45,30,0,30,20,0,0
1003,"1.26% to 2%","Total",955,740,630,110,215,15,200
1003,"1.26% to 2%","Before 2016",950,735,625,110,210,15,195
1003,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1003,"2.1% to 3%","Total",350,330,315,15,20,0,0
1003,"2.1% to 3%","Before 2016",325,315,300,15,0,0,0
1003,"2.1% to 3%","2016 to 2021",25,0,0,0,0,0,0
1003,"3.1% or over","Total",150,145,140,0,0,0,0
1003,"3.1% or over","Before 2016",140,135,130,0,0,0,0
1003,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1004,"Total","Total",9160,6605,2410,4190,2560,575,1980
1004,"Total","Before 2016",8880,6400,2320,4080,2475,555,1925
1004,"Total","2016 to 2021",280,200,85,110,85,25,55
1004,"1+ person with limitation","Total",685,455,285,175,235,45,185
1004,"1+ person with limitation","Before 2016",655,425,260,165,225,40,185
1004,"1+ person with limitation","2016 to 2021",35,30,20,0,0,0,0
1004,"Veteran in household","Total",580,470,190,280,110,0,100
1004,"Veteran in household","Before 2016",555,440,185,255,110,0,100
1004,"Veteran in household","2016 to 2021",30,30,0,25,0,0,0
1004,"0.5% or under","Total",2200,2015,0,2000,180,65,120
1004,"0.5% or under","Before 2016",2140,1960,0,1945,180,65,115
1004,"0.5% or under","2016 to 2021",60,55,0,55,0,0,0
1004,"0.6% to 1.25%","Total",2685,2050,125,1920,640,230,405
1004,"0.6% to 1.25%","Before 2016",2625,2005,125,1880,620,225,395
1004,"0.6% to 1.25%","2016 to 2021",65,45,0,40,20,0,0
1004,"1.26% to 2%","Total",2675,1130,900,235,1540,275,1270
