"dguid","char","period","total","o","om","onm","r","rs","rns"
1305036,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1305036,"0.5% or under","Total",45,45,0,45,0,0,0
1305036,"0.5% or under","Before 2016",45,45,0,45,0,0,0
1305036,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1305036,"0.6% to 1.25%","Total",50,40,35,0,0,0,0
1305036,"0.6% to 1.25%","Before 2016",40,35,25,0,0,0,0
1305036,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1305036,"1.26% to 2%","Total",15,0,0,0,0,0,0
1305036,"1.26% to 2%","Before 2016",15,0,0,0,0,0,0
1305036,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1305036,"2.1% to 3%","Total",15,15,15,0,0,0,0
1305036,"2.1% to 3%","Before 2016",15,15,15,0,0,0,0
1305036,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1305036,"3.1% or over","Total",0,0,0,0,0,0,0
1305036,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1305036,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1305038,"Total","Total",480,430,185,245,50,0,40
1305038,"Total","Before 2016",470,415,175,240,50,0,40
1305038,"Total","2016 to 2021",0,0,0,0,0,0,0
1305038,"1+ person with limitation","Total",30,30,0,15,0,0,0
1305038,"1+ person with limitation","Before 2016",30,30,0,15,0,0,0
1305038,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1305038,"Veteran in household","Total",40,40,15,25,0,0,0
1305038,"Veteran in household","Before 2016",40,40,15,25,0,0,0
1305038,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1305038,"0.5% or under","Total",135,135,0,135,0,0,0
1305038,"0.5% or under","Before 2016",135,135,0,135,0,0,0
1305038,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1305038,"0.6% to 1.25%","Total",185,160,55,110,25,0,15
1305038,"0.6% to 1.25%","Before 2016",185,160,55,105,25,0,15
1305038,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1305038,"1.26% to 2%","Total",95,70,70,0,0,0,0
1305038,"1.26% to 2%","Before 2016",95,70,70,0,0,0,0
1305038,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1305038,"2.1% to 3%","Total",50,50,45,0,0,0,0
1305038,"2.1% to 3%","Before 2016",40,40,40,0,0,0,0
1305038,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1305038,"3.1% or over","Total",0,0,0,0,0,0,0
1305038,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1305038,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1305045,"Total","Total",4860,3930,2280,1650,930,35,900
1305045,"Total","Before 2016",4625,3775,2205,1575,845,35,810
1305045,"Total","2016 to 2021",235,150,75,80,85,0,85
1305045,"1+ person with limitation","Total",620,490,375,115,135,0,130
1305045,"1+ person with limitation","Before 2016",595,460,355,105,130,0,125
1305045,"1+ person with limitation","2016 to 2021",30,25,15,0,0,0,0
1305045,"Veteran in household","Total",315,280,155,130,35,0,35
1305045,"Veteran in household","Before 2016",295,280,155,125,20,0,20
1305045,"Veteran in household","2016 to 2021",20,0,0,0,0,0,0
1305045,"0.5% or under","Total",895,805,0,800,85,15,65
1305045,"0.5% or under","Before 2016",875,790,0,775,85,15,65
1305045,"0.5% or under","2016 to 2021",15,15,0,15,0,0,0
1305045,"0.6% to 1.25%","Total",2040,1430,655,775,605,0,595
1305045,"0.6% to 1.25%","Before 2016",1975,1380,655,725,595,0,580
1305045,"0.6% to 1.25%","2016 to 2021",60,50,0,50,0,0,0
1305045,"1.26% to 2%","Total",1370,1150,1080,65,220,0,215
1305045,"1.26% to 2%","Before 2016",1260,1115,1050,65,145,0,145
1305045,"1.26% to 2%","2016 to 2021",110,35,30,0,75,0,75
1305045,"2.1% to 3%","Total",390,365,350,0,20,0,20
1305045,"2.1% to 3%","Before 2016",360,340,330,0,20,0,20
1305045,"2.1% to 3%","2016 to 2021",30,30,25,0,0,0,0
1305045,"3.1% or over","Total",175,175,175,0,0,0,0
1305045,"3.1% or over","Before 2016",155,155,155,0,0,0,0
1305045,"3.1% or over","2016 to 2021",20,20,20,0,0,0,0
1305057,"Total","Total",6845,6255,4025,2230,590,95,495
1305057,"Total","Before 2016",6450,5975,3780,2190,475,80,400
1305057,"Total","2016 to 2021",395,280,245,35,115,15,100
1305057,"1+ person with limitation","Total",930,870,730,140,60,0,60
1305057,"1+ person with limitation","Before 2016",875,830,690,140,50,0,50
1305057,"1+ person with limitation","2016 to 2021",50,40,40,0,0,0,0
1305057,"Veteran in household","Total",485,455,290,165,30,0,25
1305057,"Veteran in household","Before 2016",460,440,275,160,30,0,20
1305057,"Veteran in household","2016 to 2021",20,20,0,0,0,0,0
1305057,"0.5% or under","Total",2025,1895,125,1765,135,70,65
1305057,"0.5% or under","Before 2016",2005,1885,125,1755,125,65,55
1305057,"0.5% or under","2016 to 2021",20,0,0,0,10,10,0
1305057,"0.6% to 1.25%","Total",1955,1645,1195,450,310,25,290
1305057,"0.6% to 1.25%","Before 2016",1855,1585,1160,425,270,15,255
1305057,"0.6% to 1.25%","2016 to 2021",100,60,30,25,45,0,35
1305057,"1.26% to 2%","Total",2225,2085,2075,0,140,0,140
1305057,"1.26% to 2%","Before 2016",2040,1960,1945,0,80,0,80
1305057,"1.26% to 2%","2016 to 2021",185,130,130,0,60,0,60
1305057,"2.1% to 3%","Total",520,515,515,0,0,0,0
1305057,"2.1% to 3%","Before 2016",460,455,455,0,0,0,0
1305057,"2.1% to 3%","2016 to 2021",60,60,60,0,0,0,0
1305057,"3.1% or over","Total",120,120,120,0,0,0,0
1305057,"3.1% or over","Before 2016",90,90,90,0,0,0,0
1305057,"3.1% or over","2016 to 2021",30,30,30,0,0,0,0
1306001,"Total","Total",280,255,115,135,25,0,25
1306001,"Total","Before 2016",270,245,105,130,25,0,25
1306001,"Total","2016 to 2021",0,0,0,0,0,0,0
1306001,"1+ person with limitation","Total",20,20,0,0,0,0,0
1306001,"1+ person with limitation","Before 2016",20,20,0,0,0,0,0
1306001,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1306001,"Veteran in household","Total",30,30,0,25,0,0,0
1306001,"Veteran in household","Before 2016",30,30,0,25,0,0,0
1306001,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1306001,"0.5% or under","Total",105,105,0,105,0,0,0
1306001,"0.5% or under","Before 2016",100,100,0,100,0,0,0
1306001,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306001,"0.6% to 1.25%","Total",70,50,30,20,20,0,20
1306001,"0.6% to 1.25%","Before 2016",70,50,30,20,20,0,20
1306001,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1306001,"1.26% to 2%","Total",70,60,55,0,0,0,0
1306001,"1.26% to 2%","Before 2016",60,55,45,0,0,0,0
1306001,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1306001,"2.1% to 3%","Total",25,25,20,0,0,0,0
1306001,"2.1% to 3%","Before 2016",25,25,20,0,0,0,0
1306001,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1306001,"3.1% or over","Total",0,0,0,0,0,0,0
1306001,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1306001,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1306003,"Total","Total",135,110,50,60,25,20,0
1306003,"Total","Before 2016",135,110,50,60,20,0,0
1306003,"Total","2016 to 2021",0,0,0,0,0,0,0
1306003,"1+ person with limitation","Total",0,0,0,0,0,0,0
1306003,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1306003,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1306003,"Veteran in household","Total",0,0,0,0,0,0,0
1306003,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1306003,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1306003,"0.5% or under","Total",15,0,0,0,0,0,0
1306003,"0.5% or under","Before 2016",15,0,0,0,0,0,0
1306003,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306003,"0.6% to 1.25%","Total",65,50,0,50,0,0,0
1306003,"0.6% to 1.25%","Before 2016",60,50,0,50,0,0,0
1306003,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1306003,"1.26% to 2%","Total",45,40,40,0,0,0,0
1306003,"1.26% to 2%","Before 2016",45,40,40,0,0,0,0
1306003,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1306003,"2.1% to 3%","Total",0,0,0,0,0,0,0
1306003,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1306003,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1306003,"3.1% or over","Total",0,0,0,0,0,0,0
1306003,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1306003,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1306004,"Total","Total",185,180,55,130,0,0,0
1306004,"Total","Before 2016",180,180,55,125,0,0,0
1306004,"Total","2016 to 2021",0,0,0,0,0,0,0
1306004,"1+ person with limitation","Total",0,0,0,0,0,0,0
1306004,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1306004,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1306004,"Veteran in household","Total",30,30,0,25,0,0,0
1306004,"Veteran in household","Before 2016",30,30,0,25,0,0,0
1306004,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1306004,"0.5% or under","Total",95,95,0,95,0,0,0
1306004,"0.5% or under","Before 2016",90,90,0,90,0,0,0
1306004,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306004,"0.6% to 1.25%","Total",60,60,25,35,0,0,0
1306004,"0.6% to 1.25%","Before 2016",60,60,25,35,0,0,0
1306004,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1306004,"1.26% to 2%","Total",20,0,0,0,0,0,0
1306004,"1.26% to 2%","Before 2016",20,0,0,0,0,0,0
1306004,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1306004,"2.1% to 3%","Total",0,0,0,0,0,0,0
1306004,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1306004,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1306004,"3.1% or over","Total",0,0,0,0,0,0,0
1306004,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1306004,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1306006,"Total","Total",125,115,35,80,0,0,0
1306006,"Total","Before 2016",120,105,30,75,0,0,0
1306006,"Total","2016 to 2021",0,0,0,0,0,0,0
1306006,"1+ person with limitation","Total",0,0,0,0,0,0,0
1306006,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1306006,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1306006,"Veteran in household","Total",0,0,0,0,0,0,0
1306006,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1306006,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1306006,"0.5% or under","Total",30,30,0,30,0,0,0
1306006,"0.5% or under","Before 2016",30,30,0,30,0,0,0
1306006,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306006,"0.6% to 1.25%","Total",50,45,0,45,0,0,0
1306006,"0.6% to 1.25%","Before 2016",50,40,0,40,0,0,0
1306006,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1306006,"1.26% to 2%","Total",25,25,25,0,0,0,0
1306006,"1.26% to 2%","Before 2016",25,25,25,0,0,0,0
1306006,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1306006,"2.1% to 3%","Total",15,15,0,0,0,0,0
1306006,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1306006,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1306006,"3.1% or over","Total",0,0,0,0,0,0,0
1306006,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1306006,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1306007,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1306007,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1306007,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1306007,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1306007,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1306007,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1306007,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1306007,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1306007,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1306007,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
1306007,"0.5% or under","Before 2016",NA,NA,NA,NA,NA,NA,NA
1306007,"0.5% or under","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1306007,"0.6% to 1.25%","Total",NA,NA,NA,NA,NA,NA,NA
1306007,"0.6% to 1.25%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1306007,"0.6% to 1.25%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1306007,"1.26% to 2%","Total",NA,NA,NA,NA,NA,NA,NA
1306007,"1.26% to 2%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1306007,"1.26% to 2%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1306007,"2.1% to 3%","Total",NA,NA,NA,NA,NA,NA,NA
1306007,"2.1% to 3%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1306007,"2.1% to 3%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1306007,"3.1% or over","Total",NA,NA,NA,NA,NA,NA,NA
1306007,"3.1% or over","Before 2016",NA,NA,NA,NA,NA,NA,NA
1306007,"3.1% or over","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1306008,"Total","Total",460,440,200,245,25,0,25
1306008,"Total","Before 2016",435,420,190,225,15,0,15
1306008,"Total","2016 to 2021",30,20,0,0,0,0,0
1306008,"1+ person with limitation","Total",25,25,15,0,0,0,0
1306008,"1+ person with limitation","Before 2016",25,25,15,0,0,0,0
1306008,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1306008,"Veteran in household","Total",30,30,15,0,0,0,0
1306008,"Veteran in household","Before 2016",20,20,15,0,0,0,0
1306008,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1306008,"0.5% or under","Total",145,145,0,135,0,0,0
1306008,"0.5% or under","Before 2016",140,140,0,130,0,0,0
1306008,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306008,"0.6% to 1.25%","Total",165,155,65,95,0,0,0
1306008,"0.6% to 1.25%","Before 2016",160,150,65,90,0,0,0
1306008,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1306008,"1.26% to 2%","Total",95,90,75,0,0,0,0
1306008,"1.26% to 2%","Before 2016",90,75,75,0,0,0,0
1306008,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1306008,"2.1% to 3%","Total",40,40,45,0,0,0,0
1306008,"2.1% to 3%","Before 2016",40,40,35,0,0,0,0
1306008,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1306008,"3.1% or over","Total",0,0,0,0,0,0,0
1306008,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1306008,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1306011,"Total","Total",605,570,295,275,35,0,25
1306011,"Total","Before 2016",595,560,290,275,35,0,25
1306011,"Total","2016 to 2021",0,0,0,0,0,0,0
1306011,"1+ person with limitation","Total",55,55,40,15,0,0,0
1306011,"1+ person with limitation","Before 2016",55,55,40,15,0,0,0
1306011,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1306011,"Veteran in household","Total",30,25,0,15,0,0,0
1306011,"Veteran in household","Before 2016",30,25,0,15,0,0,0
1306011,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1306011,"0.5% or under","Total",225,225,0,225,0,0,0
1306011,"0.5% or under","Before 2016",225,225,0,225,0,0,0
1306011,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306011,"0.6% to 1.25%","Total",185,165,125,50,0,0,0
1306011,"0.6% to 1.25%","Before 2016",185,165,115,50,0,0,0
1306011,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1306011,"1.26% to 2%","Total",150,135,130,0,0,0,0
1306011,"1.26% to 2%","Before 2016",145,130,130,0,0,0,0
1306011,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1306011,"2.1% to 3%","Total",45,45,45,0,0,0,0
1306011,"2.1% to 3%","Before 2016",40,40,40,0,0,0,0
1306011,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1306011,"3.1% or over","Total",0,0,0,0,0,0,0
1306011,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1306011,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1306014,"Total","Total",1860,1770,1025,750,90,0,80
1306014,"Total","Before 2016",1780,1690,960,730,90,0,80
1306014,"Total","2016 to 2021",80,80,70,10,0,0,0
1306014,"1+ person with limitation","Total",215,200,150,45,0,0,0
1306014,"1+ person with limitation","Before 2016",200,190,145,45,0,0,0
1306014,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1306014,"Veteran in household","Total",95,95,55,30,0,0,0
1306014,"Veteran in household","Before 2016",85,85,55,30,0,0,0
1306014,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1306014,"0.5% or under","Total",670,635,45,595,35,0,35
1306014,"0.5% or under","Before 2016",665,630,45,590,35,0,35
1306014,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306014,"0.6% to 1.25%","Total",505,470,315,145,40,0,35
1306014,"0.6% to 1.25%","Before 2016",480,440,305,140,40,0,35
1306014,"0.6% to 1.25%","2016 to 2021",20,20,0,0,0,0,0
1306014,"1.26% to 2%","Total",475,460,460,0,0,0,0
1306014,"1.26% to 2%","Before 2016",450,440,435,0,0,0,0
1306014,"1.26% to 2%","2016 to 2021",30,30,30,0,0,0,0
1306014,"2.1% to 3%","Total",160,160,150,0,0,0,0
1306014,"2.1% to 3%","Before 2016",145,140,135,0,0,0,0
1306014,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1306014,"3.1% or over","Total",50,50,50,0,0,0,0
1306014,"3.1% or over","Before 2016",40,40,40,0,0,0,0
1306014,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1306020,"Total","Total",8620,6565,4205,2360,2060,90,1970
1306020,"Total","Before 2016",8185,6340,4050,2285,1850,85,1770
1306020,"Total","2016 to 2021",435,225,150,75,210,0,200
1306020,"1+ person with limitation","Total",1270,1015,830,185,260,0,250
1306020,"1+ person with limitation","Before 2016",1220,990,815,175,225,0,215
1306020,"1+ person with limitation","2016 to 2021",60,25,15,0,35,0,35
1306020,"Veteran in household","Total",625,540,280,265,80,0,80
1306020,"Veteran in household","Before 2016",605,530,270,255,70,0,70
1306020,"Veteran in household","2016 to 2021",20,0,0,0,0,0,0
1306020,"0.5% or under","Total",570,485,20,465,85,30,55
1306020,"0.5% or under","Before 2016",560,475,15,455,80,30,55
1306020,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306020,"0.6% to 1.25%","Total",3510,2595,745,1850,915,55,865
1306020,"0.6% to 1.25%","Before 2016",3375,2510,730,1780,865,50,815
1306020,"0.6% to 1.25%","2016 to 2021",140,90,15,75,50,0,45
1306020,"1.26% to 2%","Total",3520,2565,2520,40,960,0,955
1306020,"1.26% to 2%","Before 2016",3320,2490,2450,40,830,0,825
1306020,"1.26% to 2%","2016 to 2021",200,70,70,0,135,0,135
1306020,"2.1% to 3%","Total",850,765,760,0,90,0,90
1306020,"2.1% to 3%","Before 2016",775,715,700,0,70,0,70
1306020,"2.1% to 3%","2016 to 2021",75,55,55,0,20,0,20
1306020,"3.1% or over","Total",165,155,155,0,0,0,0
1306020,"3.1% or over","Before 2016",160,150,150,0,0,0,0
1306020,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1306025,"Total","Total",560,440,245,195,115,15,100
1306025,"Total","Before 2016",555,440,245,195,115,15,100
1306025,"Total","2016 to 2021",0,0,0,0,0,0,0
1306025,"1+ person with limitation","Total",65,55,40,15,0,0,0
1306025,"1+ person with limitation","Before 2016",65,55,40,15,0,0,0
1306025,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1306025,"Veteran in household","Total",40,35,20,0,0,0,0
1306025,"Veteran in household","Before 2016",40,35,20,0,0,0,0
1306025,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1306025,"0.5% or under","Total",85,85,0,85,0,0,0
1306025,"0.5% or under","Before 2016",85,85,0,85,0,0,0
1306025,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1306025,"0.6% to 1.25%","Total",220,160,55,105,60,0,45
1306025,"0.6% to 1.25%","Before 2016",220,160,55,105,60,0,45
1306025,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1306025,"1.26% to 2%","Total",200,155,145,0,50,0,45
1306025,"1.26% to 2%","Before 2016",200,155,145,0,50,0,45
1306025,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1306025,"2.1% to 3%","Total",40,30,30,0,0,0,0
1306025,"2.1% to 3%","Before 2016",35,30,30,0,0,0,0
1306025,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1306025,"3.1% or over","Total",15,0,0,0,0,0,0
1306025,"3.1% or over","Before 2016",15,0,0,0,0,0,0
1306025,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307001,"Total","Total",395,370,185,180,30,0,30
1307001,"Total","Before 2016",375,355,180,175,20,0,20
1307001,"Total","2016 to 2021",20,0,0,0,0,0,0
1307001,"1+ person with limitation","Total",35,25,15,0,0,0,0
1307001,"1+ person with limitation","Before 2016",35,25,15,0,0,0,0
1307001,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307001,"Veteran in household","Total",35,35,0,25,0,0,0
1307001,"Veteran in household","Before 2016",35,35,0,25,0,0,0
1307001,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307001,"0.5% or under","Total",150,130,0,130,15,0,15
1307001,"0.5% or under","Before 2016",140,125,0,125,0,0,0
1307001,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307001,"0.6% to 1.25%","Total",115,110,60,50,0,0,0
1307001,"0.6% to 1.25%","Before 2016",115,110,60,50,0,0,0
1307001,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307001,"1.26% to 2%","Total",90,90,90,0,0,0,0
1307001,"1.26% to 2%","Before 2016",90,90,90,0,0,0,0
1307001,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307001,"2.1% to 3%","Total",20,20,20,0,0,0,0
1307001,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1307001,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307001,"3.1% or over","Total",15,15,15,0,0,0,0
1307001,"3.1% or over","Before 2016",15,15,15,0,0,0,0
1307001,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307002,"Total","Total",165,125,40,80,50,25,0
1307002,"Total","Before 2016",165,125,40,80,50,25,0
1307002,"Total","2016 to 2021",0,0,0,0,0,0,0
1307002,"1+ person with limitation","Total",0,0,0,0,0,0,0
1307002,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1307002,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307002,"Veteran in household","Total",25,25,0,0,0,0,0
1307002,"Veteran in household","Before 2016",25,25,0,0,0,0,0
1307002,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307002,"0.5% or under","Total",35,30,0,30,0,0,0
1307002,"0.5% or under","Before 2016",35,30,0,30,0,0,0
1307002,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307002,"0.6% to 1.25%","Total",85,60,0,50,20,0,0
1307002,"0.6% to 1.25%","Before 2016",85,60,0,50,20,0,0
1307002,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307002,"1.26% to 2%","Total",30,25,25,0,0,0,0
1307002,"1.26% to 2%","Before 2016",30,25,25,0,0,0,0
1307002,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307002,"2.1% to 3%","Total",0,0,0,0,0,0,0
1307002,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1307002,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307002,"3.1% or over","Total",0,0,0,0,0,0,0
1307002,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1307002,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307004,"Total","Total",535,505,145,365,30,0,30
1307004,"Total","Before 2016",520,490,140,350,30,0,30
1307004,"Total","2016 to 2021",20,20,0,0,0,0,0
1307004,"1+ person with limitation","Total",50,40,20,25,0,0,0
1307004,"1+ person with limitation","Before 2016",50,40,20,25,0,0,0
1307004,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307004,"Veteran in household","Total",30,30,0,25,0,0,0
1307004,"Veteran in household","Before 2016",30,30,0,25,0,0,0
1307004,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307004,"0.5% or under","Total",190,180,0,180,0,0,0
1307004,"0.5% or under","Before 2016",190,180,0,180,0,0,0
1307004,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307004,"0.6% to 1.25%","Total",220,205,45,165,0,0,0
1307004,"0.6% to 1.25%","Before 2016",215,200,45,155,0,0,0
1307004,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307004,"1.26% to 2%","Total",60,45,30,0,0,0,0
1307004,"1.26% to 2%","Before 2016",55,40,30,0,0,0,0
1307004,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307004,"2.1% to 3%","Total",40,40,35,0,0,0,0
1307004,"2.1% to 3%","Before 2016",35,35,30,0,0,0,0
1307004,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307004,"3.1% or over","Total",30,30,30,0,0,0,0
1307004,"3.1% or over","Before 2016",30,30,30,0,0,0,0
1307004,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307005,"Total","Total",2850,2540,1375,1170,305,0,300
1307005,"Total","Before 2016",2730,2440,1300,1135,290,0,285
1307005,"Total","2016 to 2021",115,100,65,35,15,0,15
1307005,"1+ person with limitation","Total",265,255,170,85,0,0,0
1307005,"1+ person with limitation","Before 2016",265,250,170,85,0,0,0
1307005,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307005,"Veteran in household","Total",150,150,70,80,0,0,0
1307005,"Veteran in household","Before 2016",150,150,70,80,0,0,0
1307005,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307005,"0.5% or under","Total",940,880,25,855,60,0,60
1307005,"0.5% or under","Before 2016",910,855,25,830,60,0,60
1307005,"0.5% or under","2016 to 2021",30,30,0,20,0,0,0
1307005,"0.6% to 1.25%","Total",980,780,490,290,200,0,190
1307005,"0.6% to 1.25%","Before 2016",955,760,475,280,195,0,190
1307005,"0.6% to 1.25%","2016 to 2021",25,25,0,0,0,0,0
1307005,"1.26% to 2%","Total",680,630,605,25,50,0,50
1307005,"1.26% to 2%","Before 2016",650,610,585,25,40,0,40
1307005,"1.26% to 2%","2016 to 2021",30,15,15,0,0,0,0
1307005,"2.1% to 3%","Total",185,185,185,0,0,0,0
1307005,"2.1% to 3%","Before 2016",175,175,175,0,0,0,0
1307005,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307005,"3.1% or over","Total",65,65,65,0,0,0,0
