"dguid","var","1per","2per","3per","4per","5per"
1101035,"living_income",38480,54420,66650,76960,86040
1101036,"mbm",29780,42110,51570,59550,66580
1101036,"living_income",44690,63200,77400,89370,99920
1101043,"mbm",25100,35490,43470,50200,56120
1101043,"living_income",39480,55830,68380,78960,88280
1101045,"mbm",27100,38320,46940,54200,60590
1101045,"living_income",41800,59110,72400,83600,93460
1102002,"mbm",23630,33420,40930,47270,52840
1102002,"living_income",38160,53960,66090,76310,85320
1102010,"mbm",23520,33260,40740,47040,52590
1102010,"living_income",38320,54190,66360,76630,85680
1102017,"mbm",23610,33400,40900,47230,52800
1102017,"living_income",38280,54140,66310,76560,85600
1102040,"mbm",23620,33400,40910,47240,52810
1102040,"living_income",38260,54110,66270,76520,85560
1102046,"mbm",26680,37730,46200,53350,59650
1102046,"living_income",42060,59480,72850,84120,94050
1102064,"mbm",24180,34200,41890,48370,54070
1102064,"living_income",39070,55260,67680,78150,87370
1102067,"mbm",24420,34540,42300,48850,54610
1102067,"living_income",39560,55950,68530,79130,88470
1102068,"mbm",23620,33400,40910,47240,52820
1102068,"living_income",38430,54340,66560,76850,85920
1102071,"mbm",22980,32500,39800,45960,51380
1102071,"living_income",37490,53010,64930,74970,83820
1102073,"mbm",23670,33480,41010,47350,52940
1102073,"living_income",38490,54440,66670,76980,86070
1102075,"mbm",27450,38820,47550,54910,61390
1102075,"living_income",43330,61270,75040,86650,96880
1102080,"mbm",25850,36550,44770,51690,57790
1102080,"living_income",41460,58630,71800,82910,92700
1102085,"mbm",27130,38370,46990,54260,60670
1102085,"living_income",43160,61040,74750,86320,96510
1103008,"mbm",26430,37380,45780,52860,59100
1103008,"living_income",42090,59520,72900,84180,94110
1103014,"mbm",26840,37960,46490,53680,60010
1103014,"living_income",42400,59970,73440,84810,94820
1103023,"mbm",22500,31820,38970,45000,50310
1103023,"living_income",36720,51930,63610,73450,82110
1103025,"mbm",26600,37620,46080,53210,59490
1103025,"living_income",42070,59500,72870,84140,94070
1103035,"mbm",18950,26800,32820,37900,42380
1103035,"living_income",31580,44660,54690,63150,70610
1103042,"mbm",27390,38730,47430,54770,61240
1103042,"living_income",42700,60390,73960,85400,95480
1103043,"mbm",23290,32930,40330,46570,52070
1103043,"living_income",37570,53130,65080,75140,84010
1103052,"mbm",26560,37570,46010,53130,59400
1103052,"living_income",41750,59040,72310,83500,93350
1103055,"mbm",22880,32360,39630,45770,51170
1103055,"living_income",37180,52580,64400,74360,83140
1103059,"mbm",24700,34930,42780,49400,55230
1103059,"living_income",39290,55560,68050,78570,87850
1103063,"mbm",22570,31910,39090,45130,50460
1103063,"living_income",36570,51720,63340,73140,81780
1103064,"mbm",22680,32070,39280,45350,50710
1103064,"living_income",37000,52330,64090,74000,82740
1103065,"mbm",22500,31830,38980,45010,50320
1103065,"living_income",36560,51700,63320,73120,81750
1103067,"mbm",23740,33570,41110,47470,53080
1103067,"living_income",38480,54420,66650,76960,86040
1201001,"mbm",22310,31540,38630,44610,49880
1201001,"living_income",43260,61190,74940,86530,96740
1201004,"mbm",23930,33840,41440,47860,53500
1201004,"living_income",46270,65440,80150,92550,103470
1201006,"mbm",23450,33160,40620,46900,52440
1201006,"living_income",45370,64170,78590,90750,101460
1201008,"mbm",24930,35260,43180,49860,55750
1201008,"living_income",47970,67840,83090,95940,107260
1202001,"mbm",21530,30450,37290,43060,48150
1202001,"living_income",42550,60180,73700,85100,95150
1202004,"mbm",22900,32380,39660,45800,51200
1202004,"living_income",45340,64120,78530,90680,101380
1202006,"mbm",26080,36890,45180,52170,58330
1202006,"living_income",51180,72380,88650,102360,114440
1203001,"mbm",23260,32890,40280,46510,52000
1203001,"living_income",44950,63560,77850,89890,100510
1203004,"mbm",24830,35120,43010,49660,55520
1203004,"living_income",47820,67620,82820,95630,106920
1203006,"mbm",27980,39570,48470,55970,62570
1203006,"living_income",53540,75720,92740,107080,119720
1204010,"mbm",24610,34800,42620,49210,55020
1204010,"living_income",47520,67200,82310,95040,106260
1205001,"mbm",21900,30970,37930,43790,48960
1205001,"living_income",44280,62630,76700,88570,99020
1205004,"mbm",21570,30510,37360,43140,48230
1205004,"living_income",43420,61400,75200,86830,97080
1205009,"mbm",22310,31550,38640,44620,49880
1205009,"living_income",45010,63650,77960,90010,100640
1205014,"mbm",22700,32100,39320,45400,50760
1205014,"living_income",45980,65030,79650,91970,102820
1205016,"mbm",24770,35030,42900,49540,55390
1205016,"living_income",50050,70780,86680,100090,111910
1206001,"mbm",22730,32140,39360,45450,50810
1206001,"living_income",44810,63370,77620,89620,100200
1206004,"mbm",26130,36950,45260,52260,58430
1206004,"living_income",51520,72860,89230,103030,115200
1206006,"mbm",24960,35290,43220,49910,55800
1206006,"living_income",49300,69720,85390,98590,110230
1206008,"mbm",25770,36450,44640,51550,57630
1206008,"living_income",50970,72080,88280,101940,113970
1206009,"mbm",23740,33580,41120,47480,53090
1206009,"living_income",46800,66180,81050,93590,104640
1207001,"mbm",24560,34740,42550,49130,54930
1207001,"living_income",48260,68250,83590,96520,107910
1207004,"mbm",26840,37960,46490,53680,60010
1207004,"living_income",52560,74340,91040,105130,117540
1207011,"mbm",25780,36460,44650,51560,57640
1207011,"living_income",50550,71500,87560,101110,113040
1207012,"mbm",26590,37600,46050,53170,59450
1207012,"living_income",52390,74090,90740,104780,117150
1207016,"mbm",24870,35170,43080,49740,55620
1207016,"living_income",48770,68980,84480,97550,109060
1207021,"mbm",23990,33930,41560,47990,53650
1207021,"living_income",47120,66630,81610,94230,105350
1207024,"mbm",26860,37990,46530,53720,60070
1207024,"living_income",52510,74260,90950,105020,117420
1208003,"mbm",26450,37410,45820,52910,59150
1208003,"living_income",50870,71940,88110,101740,113750
1208008,"mbm",26050,36840,45120,52100,58250
1208008,"living_income",50730,71750,87870,101470,113450
1208014,"mbm",24100,34090,41750,48210,53900
1208014,"living_income",45520,64380,78840,91040,101790
1209034,"mbm",26190,37040,45370,52390,58570
1209034,"living_income",52010,73560,90090,104030,116310
1210001,"mbm",25440,35980,44060,50880,56880
1210001,"living_income",49080,69400,85000,98150,109740
1210002,"mbm",27280,38590,47260,54570,61010
1210002,"living_income",52490,74230,90910,104970,117360
1210006,"mbm",28640,40500,49600,57270,64030
1210006,"living_income",54540,77120,94460,109070,121940
1210008,"mbm",25790,36470,44670,51580,57670
1210008,"living_income",49610,70160,85930,99220,110930
