"munic","pr","scoremat","scoresoc","scoremat_can","scoresoc_can","scoremat_pr","scoresoc_pr"
1001370,"10",0.036981964194838,0.00148475762090191,4,4,2,5
1001374,"10",-0.0300777231474146,-0.0165564623640606,1,2,1,4
1001375,"10",0.0685742938487994,-0.0469661137540899,5,1,4,2
1001379,"10",0.0578924603816312,-0.00802132230140357,5,3,3,4
1001385,"10",0.0579192789425909,-0.0420158402200057,5,1,3,2
1001391,"10",NA,NA,NA,NA,NA,NA
1001394,"10",0.0303876422022625,-0.0277026517774503,4,2,2,3
1001396,"10",0.0558437131137313,-0.02465047600421,4,2,3,3
1001405,"10",0,0,2,3,1,5
1001409,"10",0.0316239793372116,-0.0145805132138289,4,2,2,4
1001415,"10",0.0460294352691993,-0.0202471694328445,4,2,3,4
1001421,"10",0.0430248117462027,-0.0312238226112807,4,1,2,3
1001426,"10",0.0309098997989658,-0.00142574064398749,4,3,2,5
1001429,"10",0.0228766079735925,0.00703135269317744,4,4,2,5
1001434,"10",0.0232521891950029,-0.0234264538155198,4,2,2,3
1001437,"10",0.0489712370783084,-0.0149378310060838,4,2,3,4
1001441,"10",0.0693539828565618,-0.0205385798626834,5,2,4,4
1001446,"10",0.0550269782299912,-0.00470516831511441,4,3,3,5
1001452,"10",0.0485567482680401,-0.00837652649547706,4,3,3,4
1001456,"10",0.0678258949517843,-0.0271023920239981,5,2,4,3
1001461,"10",0.0571549894785771,0.00144567238045774,4,4,3,5
1001464,"10",0.0346824475920778,0.02014693276461,4,5,2,5
1001469,"10",0.023578360929848,-0.0192519445540314,4,2,2,4
1001472,"10",0.00770334241062974,-0.0185795786398286,3,2,1,4
1001485,"10",0.000522809627230857,-0.00934644553867213,2,3,1,4
1001490,"10",0.0793530942983708,0.0292187860093498,5,5,4,5
1001494,"10",0.105336868803452,0.00547364734873139,5,4,5,5
1001504,"10",-0.0186623145283752,-0.0216634074028113,1,2,1,4
1001505,"10",0.01871367920902,-0.00468836595074924,3,3,1,5
1001507,"10",-0.0180072125633177,-0.0198526128856457,1,2,1,4
1001509,"10",-0.0132358054462156,-0.0128355320850616,1,3,1,4
1001511,"10",-0.0334570692334135,-0.0405566794687217,1,1,1,2
1001512,"10",0.00164189204450523,-0.0394081196651941,3,1,1,2
1001517,"10",-0.0236292103167611,-0.00764057986457582,1,3,1,4
1001519,"10",-0.00566427782656506,0.0176910614724069,2,5,1,5
1001542,"10",-0.0032621219943853,0.00558607241952299,2,4,1,5
1001551,"10",0.0126219867144618,-0.0236660989761168,3,2,1,3
1001557,"10",0.0108845924375072,-0.0198879899289841,3,2,1,4
1001559,"10",0.00626060976017084,-0.0314237094108906,3,1,1,3
1001565,"10",0,0,2,3,1,5
1002001,"10",0.00353389350868741,-0.0283053185541641,3,2,1,3
1002002,"10",0.022377801886688,-0.021473469668561,4,2,2,4
1002005,"10",0.038813727967963,-0.0255880106784006,4,2,2,3
1002006,"10",0.0384138496456127,-0.0343958783563203,4,1,2,3
1002008,"10",0.0203081379226539,-0.0109006787442516,3,3,1,4
1002009,"10",0,0,2,3,1,5
1002011,"10",0.0669775590006188,-0.0309078538291204,5,2,4,3
1002012,"10",0.0391907271233797,-0.0613685720377601,4,1,2,1
1002013,"10",0.0867012677469747,0.0158673198417587,5,5,4,5
1002014,"10",0.127485135063834,-0.0440078811984841,5,1,5,2
1002015,"10",0.166575720603489,-0.0714504067775368,5,1,5,1
1002016,"10",0.00632607519449348,-0.0702680530823848,3,1,1,1
1002017,"10",0.0605912481212248,-0.0536427769627095,5,1,3,2
1002018,"10",0.0577564129452825,-0.0225439160764142,5,2,3,3
1002019,"10",0.047019538002437,-0.0131127068609253,4,2,3,4
1002021,"10",0.0278242515647402,-0.0501890177780406,4,1,2,2
1002022,"10",0.0356485953531486,-0.0606959329828536,4,1,2,2
1002023,"10",-0.015980850087431,-0.0334305923523203,1,1,1,3
1002024,"10",0.0427667546358557,-0.00687364280202429,4,3,2,4
1002025,"10",0.0453500211937426,-0.0154928948565236,4,2,2,4
1002026,"10",0.117876692469058,-0.0719859902586827,5,1,5,1
1002027,"10",0.0581138087866239,-0.0531293008106204,5,1,3,2
1002029,"10",NA,NA,NA,NA,NA,NA
1002030,"10",0.151643781438625,-0.10132240337131,5,1,5,1
1002031,"10",0.055371813378076,-0.0543978452821429,4,1,3,2
1002033,"10",0.0598807289589335,-0.030317134082439,5,2,3,3
1002034,"10",0.066109370356094,-0.0284892473302847,5,2,4,3
1002036,"10",0.0913796230778723,-0.0530577392604948,5,1,4,2
1002037,"10",0.00422915194564921,-0.0272833000268961,3,2,1,3
1002039,"10",0.0942460253401275,-0.0351490090501876,5,1,4,3
1002040,"10",0.0438777937538171,-0.0657768900479493,4,1,2,1
1002041,"10",0.0654028788619078,-0.0562979024843933,5,1,4,2
1002044,"10",0,0,2,3,1,5
1002048,"10",0.0248070960590401,-0.00024266487029429,4,3,2,5
1002055,"10",0.128397943019015,-0.0430886057345275,5,1,5,2
1003001,"10",0,0,2,3,1,5
1003002,"10",0.0833746780206428,-0.0196629228147374,5,2,4,4
1003003,"10",0.0663895379299889,-0.0634788618316708,5,1,4,1
1003004,"10",0.126222385424122,-0.0454575386315283,5,1,5,2
1003005,"10",0.0924246808339692,-0.0815657685663198,5,1,4,1
1003006,"10",NA,NA,NA,NA,NA,NA
1003008,"10",0.0555225668313188,-0.041149574295054,4,1,3,2
1003009,"10",0.0539950271114235,-0.142362030680515,4,1,3,1
1003010,"10",0.0633612532788245,-0.134400437920523,5,1,3,1
1003011,"10",0.0583961051538702,-0.0669964577212142,5,1,3,1
1003012,"10",0.189912339734012,-0.0885177737175172,5,1,5,1
1003014,"10",0.0380788732037039,-0.000604214956153893,4,3,2,5
1003018,"10",0.0492603988280741,-0.0402440221623405,4,1,3,2
1003019,"10",0.0548618025690426,-0.0308490163340606,4,2,3,3
1003020,"10",0,0,2,3,1,5
1003021,"10",0.118931576266846,-0.193996880518005,5,1,5,1
1003024,"10",0.0663354318950594,-0.113747033410126,5,1,4,1
1003026,"10",0.107484408734266,-0.0639118799454383,5,1,5,1
1003028,"10",0.0674578809139424,-0.0642846406339926,5,1,4,1
1003031,"10",0.0603163381915743,-0.0631244819635821,5,1,3,1
1003032,"10",0.0625433884177469,-0.0480164124301216,5,1,3,2
1003033,"10",0.0765463612054713,-0.0822341200526375,5,1,4,1
1003034,"10",0.0459997317956497,-0.0185836075492664,4,2,3,4
1003038,"10",0.113807710225984,-0.135016697211936,5,1,5,1
1003042,"10",0,0,2,3,1,5
1003045,"10",0.0943640255332762,-0.0768528931308784,5,1,4,1
1003801,"10",0.0883276929702243,-0.0170870834333257,5,2,4,4
1004001,"10",0.0422031730964743,-0.0190144616058598,4,2,2,4
1004006,"10",0.0958856764886293,-0.0316004816655052,5,1,5,3
1004011,"10",0.131009279703492,-0.0236127215681705,5,2,5,3
1004013,"10",0.0668523376302559,-0.00493677743500305,5,3,4,5
1004016,"10",0.0565006722361529,-0.0141221543051699,4,2,3,4
1004017,"10",-0.0704134772753933,-0.0213807016625981,1,2,1,4
1004018,"10",0.070157952027136,-0.0027291780322861,5,3,4,5
1004019,"10",0.041668568080105,0.0146285507360459,4,5,2,5
1004020,"10",0.0093880009501318,-0.0221570283544101,3,2,1,4
1004021,"10",0.0564611361183108,0.00441741057001382,4,4,3,5
1004022,"10",0.122895505593525,-0.0173811326436682,5,2,5,4
1004033,"10",0.107567292805752,-0.0258712808917375,5,2,5,3
1004037,"10",0.106146577109278,-0.0125029811211512,5,3,5,4
1004042,"10",0.0504638242237858,-0.0220807789262937,4,2,3,4
1005001,"10",0.042689436234374,-0.0321781498437581,4,1,2,3
1005003,"10",0.103756615918902,-0.0656265172224636,5,1,5,1
1005004,"10",0.0416931931676536,-0.010446556128825,4,3,2,4
1005005,"10",0.0791397717963714,-0.0582288470240902,5,1,4,2
1005006,"10",0.104271153434579,-0.0593474619203227,5,1,5,2
1005007,"10",0.0595321768395119,-0.0867234624085005,5,1,3,1
1005008,"10",0.127728511330827,-0.0695881978868828,5,1,5,1
1005009,"10",0.05514483497039,-0.0272838978785632,4,2,3,3
1005010,"10",-0.000469772638624084,-0.0276468673832706,2,2,1,3
1005011,"10",-0.0482488710716285,0.00446363779745648,1,4,1,5
1005012,"10",0.00593580767883378,-0.0197156501772427,3,2,1,4
1005014,"10",0.0744052739408196,-0.0159052075974792,5,2,4,4
1005015,"10",0.043916293427235,-0.00716603735044137,4,3,2,4
1005016,"10",-0.107104272035209,0.00239543028333652,1,4,1,5
1005017,"10",-0.0173961810677326,-0.0150171356906014,1,2,1,4
1005018,"10",0.0154314591272692,0.0122380043250386,3,5,1,5
1005019,"10",0,0,2,3,1,5
1005020,"10",0.0527638897404238,-0.0122339676609494,4,3,3,4
1005022,"10",0.0564355091177986,-0.044944714188,4,1,3,2
1005023,"10",0.115111249871859,-0.0441271443136528,5,1,5,2
1005024,"10",0.0474507636341926,-0.0195034138733661,4,2,3,4
1005025,"10",0.0498549407625454,-0.0208748896935365,4,2,3,4
1005028,"10",0.0313251840313984,-0.083288544466305,4,1,2,1
1005030,"10",0.0291226555266237,-0.0177290227934191,4,2,2,4
1005033,"10",0.0429587891592922,-0.0347700504502734,4,1,2,3
1005035,"10",0.0593556646874429,-0.0132466865532339,5,2,3,4
1006001,"10",0.0279697090283385,-0.0309975659252762,4,2,2,3
1006003,"10",0.101001515341509,-0.0307990766677924,5,2,5,3
1006008,"10",0.105692121338719,0.00749813789633463,5,4,5,5
1006009,"10",0.00230224082878951,0.00154373077145826,3,4,1,5
1006011,"10",0.0332961278421203,-0.0391067761321097,4,1,2,2
1006012,"10",0.0573792415747323,-0.0185973980545311,4,2,3,4
1006014,"10",0.0794779879322584,-0.0479343683299038,5,1,4,2
1006015,"10",0.0129979365994143,-0.0322907861265085,3,1,1,3
1006017,"10",0.0303660422351,-0.00420747353693069,4,3,2,5
1006019,"10",0.0511719363540513,-0.00880058208189085,4,3,3,4
1006021,"10",0.13967239388217,-0.0762706825244862,5,1,5,1
1006022,"10",0.056572938163758,-0.019729159609053,4,2,3,4
1006026,"10",0.0167401026924346,-0.0381379936346003,3,1,1,2
1006028,"10",0.0251096400392371,-0.0178083844629745,4,2,2,4
1006029,"10",0.0676091940377643,-0.086063961171826,5,1,4,1
1006031,"10",0.0379569285192424,0.00440351599718001,4,4,2,5
1007001,"10",0.0533248457753046,-0.0368404881728961,4,1,3,3
1007006,"10",0.0389051807565933,-0.0386200455417859,4,1,2,2
1007009,"10",0.0607917222617614,-0.0248502805772853,5,2,3,3
1007013,"10",0.00748096207338368,6.41604797605294e-05,3,4,1,5
1007014,"10",0.0655363739748318,-0.0299690249103906,5,2,4,3
1007015,"10",0,0,2,3,1,5
1007016,"10",-0.0030397682839716,-0.00016369901823146,2,3,1,5
1007018,"10",0.0985404231528279,-0.0678437164522554,5,1,5,1
1007020,"10",0.0475989964434265,0.00610662932569895,4,4,3,5
1007022,"10",0.079493039692267,-0.0169868134642759,5,2,4,4
1007023,"10",0.0604993150156047,-0.013230209473434,5,2,3,4
1007024,"10",0.0694671708329173,-0.0114282095914491,5,3,4,4
1007025,"10",0,0,2,3,1,5
1007026,"10",0,0,2,3,1,5
1007027,"10",0.0824337922195561,0.0065163440133701,5,4,4,5
1007028,"10",0.0797870581184116,-0.0326540845545319,5,1,4,3
1007031,"10",0.0627659563150267,-0.0414881381119217,5,1,3,2
1007032,"10",0.0519927563154308,-0.0335328527618996,4,1,3,3
1007036,"10",0.0272348967611838,-0.0160797715374026,4,2,2,4
1007037,"10",0.0329458125618972,-0.0246157030605121,4,2,2,3
1007038,"10",0.060510046332106,0.000516569937880124,5,4,3,5
1007039,"10",0.0992787723814856,-0.063035201302818,5,1,5,1
1007040,"10",0.0266482921460248,-0.0798861996032986,4,1,2,1
1007041,"10",0.129393498761668,-0.0328199403642111,5,1,5,3
1007042,"10",0.0950480187628315,0.00204778312444178,5,4,4,5
1007043,"10",0.0930817934780687,-0.044426050211719,5,1,4,2
1007044,"10",0.0472079860272357,-0.0441451818611657,4,1,3,2
1007045,"10",0,0,2,3,1,5
1007046,"10",0.130481560013288,-0.0698966167168739,5,1,5,1
1007047,"10",0.0567301428409,-0.0393761274525061,4,1,3,2
1007048,"10",0.0705140500071344,-0.0927259523489394,5,1,4,1
1007049,"10",0.0975034519153457,-0.055010632787282,5,1,5,2
1007050,"10",0.114290500284504,-0.0600491583992388,5,1,5,2
1007051,"10",0,0,2,3,1,5
1007054,"10",0.0392211429446776,-0.0293035839649797,4,2,2,3
1007056,"10",0.0292543332898142,-0.0938939051668639,4,1,2,1
1007057,"10",0.126487006749852,-0.0445059615350117,5,1,5,2
1007060,"10",0.0370970741037025,-0.0361085716253217,4,1,2,3
1007067,"10",0.124822791262931,-0.0685601068008857,5,1,5,1
1008001,"10",0.111375598806355,-0.0337591317911769,5,1,5,3
1008004,"10",0.0415341878443993,-0.0343326427625576,4,1,2,3
1008006,"10",0.0985128058373347,-0.0456281200989638,5,1,5,2
1008008,"10",0.0987821642848992,-0.05287420665181,5,1,5,2
1008011,"10",0.106110012349788,-0.0603738911056824,5,1,5,2
1008024,"10",0.0935795705736128,-0.0584516964051926,5,1,4,2
1008026,"10",0.0463033475876401,-0.063716460631832,4,1,3,1
1008029,"10",0.11205797180096,-0.0618515404553789,5,1,5,1
1008031,"10",0.104803563632738,-0.0539503073949217,5,1,5,2
1008032,"10",0.0825019228434302,-0.0450590064939289,5,1,4,2
1008033,"10",0.0943698077779227,-0.0282211428977068,5,2,4,3
1008035,"10",0.0649392053787142,-0.0339766333051628,5,1,4,3
1008036,"10",0.10246636948169,-0.0380431902648693,5,1,5,2
1008037,"10",0.0704955250938938,-0.0374744689129005,5,1,4,2
1008038,"10",0.0590717339915447,-0.0787414973303224,5,1,3,1
1008039,"10",0.0755470162512225,-0.0419050961607332,5,1,4,2
1008040,"10",0.0593707957665686,-0.0472534740192719,5,1,3,2
1008042,"10",0.075276327901947,-0.0727927304730225,5,1,4,1
1008043,"10",0.0683570484651719,-0.0473255166319695,5,1,4,2
1008044,"10",0.0325339520495898,-0.0172812917903847,4,2,2,4
1008045,"10",0.0980361120765522,-0.0809980687726953,5,1,5,1
1008046,"10",0.13607778175023,-0.0558957705252328,5,1,5,2
1008047,"10",0.0382167866854109,-0.0247372304723747,4,2,2,3
1008048,"10",0.0422634733122139,-0.0677881599259687,4,1,2,1
1008049,"10",0.0630575803422418,-0.0436285188834428,5,1,3,2
1008052,"10",0,0,2,3,1,5
1008053,"10",0.126226115244377,-0.0467582351328422,5,1,5,2
1008054,"10",0.0481511439423397,-0.0511067897928284,4,1,3,2
1008055,"10",0.0525092171904735,-0.164896064341817,4,1,3,1
1008056,"10",0.0384942546089813,-0.0155803762624705,4,2,2,4
1008058,"10",0.047419854359492,-0.0623450984242784,4,1,3,1
1008059,"10",0.0730036129447033,-0.00187176573598645,5,3,4,5
1008060,"10",0.0741966160327343,-0.0185790483677139,5,2,4,4
1008061,"10",0.0445502903095487,-0.0208123475330639,4,2,2,4
1008062,"10",0,0,2,3,1,5
1008063,"10",0.094793561685478,-0.0365633848012501,5,1,4,3
1008064,"10",NA,NA,NA,NA,NA,NA
1008065,"10",0.0881118520888586,-0.0567232117970075,5,1,4,2
1008066,"10",-0.000285148102526944,-0.136952106150578,2,1,1,1
1008067,"10",0.0691933083940876,-0.0718701495593281,5,1,4,1
1008069,"10",0.051578953540779,-0.0519412761129259,4,1,3,2
1008070,"10",0,0,2,3,1,5
1008071,"10",0.0915813316841278,-0.0945915767283177,5,1,4,1
1008072,"10",0.104186492666962,-0.0787814181081624,5,1,5,1
1008073,"10",0,0,2,3,1,5
